,Sierra_Leone
0,-0.046142578
1,0.08251953
2,0.119140625
3,-0.09472656
4,-0.17578125
5,-0.15234375
6,0.032714844
7,-0.61328125
8,-0.25390625
9,-0.14257812
10,0.04248047
11,0.2578125
12,0.328125
13,0.2578125
14,0.33789062
15,0.27148438
16,-0.25
17,-0.026611328
18,-0.05029297
19,0.123046875
20,0.19628906
21,-0.19042969
22,0.10498047
23,0.14257812
24,0.14453125
25,0.15917969
26,0.21289062
27,-0.19824219
28,0.035888672
29,0.08105469
30,-0.2109375
31,-0.421875
32,-0.15625
33,-0.064941406
34,-0.0071411133
35,0.25195312
36,-0.18261719
37,-0.10888672
38,-0.19238281
39,-0.09033203
40,-0.11328125
41,0.27148438
42,-0.16210938
43,0.107421875
44,0.35351562
45,0.04248047
46,-0.29296875
47,0.20898438
48,0.07080078
49,-0.0036621094
50,0.10253906
51,-0.47265625
52,-0.14746094
53,-0.33398438
54,-0.17578125
55,-0.02331543
56,-0.43945312
57,-0.013671875
58,-0.328125
59,-0.25
60,0.03149414
61,-0.2890625
62,-0.034179688
63,0.14355469
64,0.048339844
65,-0.26367188
66,-0.10253906
67,-0.03173828
68,-0.040527344
69,0.15136719
70,-0.041503906
71,-0.036621094
72,0.10449219
73,0.15625
74,0.024291992
75,-0.4375
76,0.17089844
77,0.084472656
78,-0.103515625
79,0.17871094
80,-0.51953125
81,-0.0546875
82,-0.1171875
83,-0.06982422
84,0.053955078
85,-0.083496094
86,0.20410156
87,0.064453125
88,-0.032958984
89,-0.07470703
90,0.040039062
91,0.24414062
92,-0.20507812
93,-0.025024414
94,0.072265625
95,0.01574707
96,0.359375
97,0.096191406
98,0.25976562
99,0.107910156
100,-0.15429688
101,0.23144531
102,0.10058594
103,-0.28125
104,-0.19335938
105,0.3359375
106,-0.15234375
107,-0.0625
108,-0.1328125
109,0.18847656
110,-0.18164062
111,0.234375
112,-0.26367188
113,0.13769531
114,0.076171875
115,-0.24121094
116,0.14746094
117,0.06640625
118,0.25390625
119,0.11669922
120,-0.049560547
121,0.17773438
122,-0.28320312
123,0.03540039
124,-0.22167969
125,0.39453125
126,-0.390625
127,0.030517578
128,-0.46484375
129,0.032226562
130,0.22851562
131,0.11230469
132,-0.25195312
133,-0.16308594
134,-0.29101562
135,-0.049316406
136,-0.2578125
137,-0.123046875
138,0.063964844
139,0.008972168
140,0.08203125
141,0.09472656
142,0.13183594
143,0.06591797
144,0.18066406
145,0.18554688
146,0.043701172
147,-0.029907227
148,0.26757812
149,-0.006500244
150,0.22460938
151,-0.13085938
152,-0.076660156
153,0.15820312
154,-0.0023498535
155,-0.064941406
156,-0.118652344
157,0.43945312
158,-0.00579834
159,-0.11035156
160,-0.37890625
161,0.21289062
162,0.14160156
163,0.007598877
164,-0.123046875
165,-0.08935547
166,-0.041992188
167,-0.2734375
168,0.05493164
169,0.12695312
170,-0.040527344
171,0.03564453
172,-0.18554688
173,-0.24121094
174,-0.14941406
175,-0.3828125
176,0.20019531
177,-0.23339844
178,0.033203125
179,-0.5546875
180,-0.11279297
181,-0.095703125
182,-0.08691406
183,-0.044677734
184,-0.43945312
185,0.06640625
186,0.004333496
187,-0.15722656
188,0.045166016
189,0.16015625
190,-0.23144531
191,-0.19921875
192,-0.06689453
193,-0.22070312
194,0.2265625
195,0.6640625
196,0.14160156
197,-0.17578125
198,-0.08496094
199,-0.099609375
200,0.25
201,0.03540039
202,0.1640625
203,-0.33398438
204,0.06347656
205,-0.036376953
206,-0.07861328
207,-0.060302734
208,-0.037597656
209,0.048583984
210,-0.09814453
211,0.016479492
212,-0.24121094
213,0.14355469
214,-0.04638672
215,0.02331543
216,-0.049560547
217,-0.19140625
218,-0.05908203
219,-0.12060547
220,-0.21582031
221,-0.20703125
222,-0.11328125
223,0.011291504
224,0.068847656
225,0.078125
226,0.00042533875
227,-0.056396484
228,0.515625
229,-0.17578125
230,0.06347656
231,-0.19726562
232,-0.115722656
233,-0.14648438
234,0.045654297
235,0.50390625
236,-0.010803223
237,0.19433594
238,0.037597656
239,0.09033203
240,0.4140625
241,-0.21484375
242,-0.125
243,0.20410156
244,-0.087402344
245,0.06982422
246,-0.33398438
247,-0.10595703
248,0.29882812
249,-0.015258789
250,0.16503906
251,0.19335938
252,-0.078125
253,0.08544922
254,0.15234375
255,0.0859375
256,-0.04321289
257,0.16601562
258,0.09082031
259,-0.05908203
260,0.100097656
261,0.022583008
262,0.1484375
263,0.18847656
264,-0.083496094
265,0.15039062
266,-0.55078125
267,-0.001625061
268,-0.19433594
269,0.20019531
270,-0.19042969
271,0.22851562
272,0.2265625
273,0.25390625
274,0.20410156
275,-0.18554688
276,0.27539062
277,0.11279297
278,-0.020019531
279,-0.27539062
280,-0.051513672
281,-0.49023438
282,0.07128906
283,-0.18945312
284,-0.119628906
285,-0.22851562
286,-0.23828125
287,-0.18652344
288,0.125
289,0.25390625
290,-0.20703125
291,-0.05810547
292,-0.38476562
293,-0.0703125
294,-0.20507812
295,0.06591797
296,-0.123046875
297,-0.087402344
298,0.030883789
299,0.15429688
