,Singapore
0,0.060058594
1,-0.07763672
2,-0.011352539
3,0.08544922
4,-0.08154297
5,-0.13671875
6,-0.21875
7,-0.05859375
8,-0.061767578
9,0.14257812
10,-0.060546875
11,0.09277344
12,0.22558594
13,-0.1875
14,-0.0017623901
15,-0.020507812
16,0.13085938
17,0.22070312
18,0.061767578
19,0.10058594
20,0.026123047
21,-0.24511719
22,0.08935547
23,0.016113281
24,0.13183594
25,0.010498047
26,0.08105469
27,0.15429688
28,-0.107421875
29,0.23535156
30,0.0068969727
31,-0.25
32,-0.2734375
33,-0.24707031
34,0.064453125
35,-0.11376953
36,-0.17871094
37,0.06982422
38,0.14257812
39,0.10888672
40,0.022705078
41,-0.13769531
42,-0.04736328
43,0.21582031
44,0.030029297
45,0.013000488
46,-0.34960938
47,0.06933594
48,0.25195312
49,0.00064468384
50,0.13671875
51,0.049316406
52,0.123535156
53,-0.09814453
54,-0.046875
55,0.075683594
56,-0.31835938
57,-0.13769531
58,0.20019531
59,-0.083496094
60,-0.031982422
61,-0.048339844
62,0.16308594
63,0.099609375
64,0.12695312
65,-0.056884766
66,0.12451172
67,0.013061523
68,0.12988281
69,0.17773438
70,-0.22851562
71,0.01586914
72,0.17871094
73,0.12402344
74,0.012634277
75,-0.14648438
76,-0.088378906
77,-0.06347656
78,0.21679688
79,0.14453125
80,-0.25390625
81,-0.013061523
82,-0.1484375
83,-0.03515625
84,-0.20996094
85,-0.041015625
86,-0.13671875
87,-0.024047852
88,-0.056884766
89,0.13476562
90,0.49804688
91,0.05810547
92,-0.23730469
93,-0.07714844
94,-0.16992188
95,0.0005607605
96,0.18164062
97,-0.010009766
98,0.059570312
99,0.016113281
100,0.16894531
101,0.026489258
102,0.063964844
103,0.16796875
104,0.011474609
105,0.041748047
106,0.18945312
107,-0.18945312
108,0.15234375
109,0.20019531
110,-0.08154297
111,-0.16894531
112,-0.21582031
113,-0.087402344
114,0.21875
115,0.040527344
116,0.032958984
117,-0.25585938
118,0.26171875
119,0.018066406
120,-0.21484375
121,0.06738281
122,-0.0028533936
123,0.22460938
124,-0.059814453
125,-0.025878906
126,-0.1640625
127,-0.037109375
128,0.048583984
129,0.12988281
130,0.057128906
131,0.17089844
132,0.068359375
133,-0.3203125
134,-0.22363281
135,-0.17578125
136,-0.025634766
137,0.16503906
138,-0.20605469
139,0.17382812
140,0.19921875
141,-0.041259766
142,0.115722656
143,-0.09375
144,0.23144531
145,-0.05859375
146,-0.11767578
147,-0.0060424805
148,-0.11279297
149,-0.046875
150,0.32421875
151,0.020996094
152,0.19921875
153,-0.022338867
154,0.064453125
155,-0.2734375
156,-0.296875
157,-0.24414062
158,0.26171875
159,-0.103515625
160,0.0034942627
161,-0.099121094
162,0.140625
163,0.20214844
164,0.021240234
165,-0.23339844
166,0.19042969
167,0.119628906
168,-0.12207031
169,-0.015625
170,-0.119628906
171,0.047607422
172,0.064453125
173,-0.011230469
174,-0.11621094
175,-0.171875
176,0.22558594
177,-0.10595703
178,0.104003906
179,-0.1953125
180,0.20996094
181,-0.10839844
182,-0.14453125
183,-0.13183594
184,0.12792969
185,0.03491211
186,0.122558594
187,0.0040893555
188,0.123046875
189,0.049316406
190,-0.35546875
191,-0.3359375
192,0.03515625
193,-0.17480469
194,-0.10107422
195,0.115234375
196,-0.053222656
197,-0.30859375
198,-0.063964844
199,-0.31054688
200,0.084472656
201,0.05908203
202,-0.030883789
203,-0.15039062
204,-0.23632812
205,-0.20898438
206,-0.16308594
207,-0.38867188
208,0.0006790161
209,-0.16894531
210,0.043701172
211,-0.103515625
212,0.08886719
213,0.07421875
214,0.05419922
215,0.045410156
216,-0.043945312
217,0.19824219
218,0.328125
219,0.13574219
220,-0.17089844
221,-0.17089844
222,-0.30273438
223,-0.16308594
224,-0.359375
225,0.04321289
226,-0.030517578
227,0.08935547
228,0.08496094
229,-0.012145996
230,-0.084472656
231,-0.21582031
232,0.087402344
233,-0.18261719
234,0.265625
235,0.17773438
236,-0.052490234
237,0.29492188
238,0.06738281
239,-0.059570312
240,0.2421875
241,-0.11279297
242,-0.328125
243,0.095703125
244,-0.04296875
245,-0.23242188
246,-0.10839844
247,-0.064453125
248,0.21582031
249,-0.17285156
250,-0.026367188
251,-0.11376953
252,-0.024658203
253,0.16015625
254,-0.009277344
255,0.0067443848
256,0.095703125
257,0.1875
258,-0.23242188
259,0.043945312
260,0.37109375
261,0.33789062
262,0.22753906
263,-0.23925781
264,0.25
265,-0.171875
266,-0.087890625
267,-0.27539062
268,0.2890625
269,0.16503906
270,0.043945312
271,-0.118652344
272,0.10595703
273,-0.03515625
274,0.061523438
275,0.06542969
276,-0.12597656
277,0.1796875
278,-0.171875
279,0.26171875
280,-0.091308594
281,-0.059814453
282,-0.20410156
283,-0.115722656
284,0.16113281
285,0.009521484
286,-0.18359375
287,-0.037597656
288,-0.17773438
289,0.3359375
290,0.13476562
291,0.032958984
292,0.24707031
293,0.18847656
294,-0.0034484863
295,-0.091796875
296,0.019897461
297,0.037353516
298,-0.16015625
299,-0.011413574
