,Slovakia
0,0.064941406
1,-0.087890625
2,0.30859375
3,0.30859375
4,-0.125
5,-0.12695312
6,0.13867188
7,-0.11230469
8,-0.21386719
9,0.0034179688
10,0.08544922
11,0.07763672
12,0.04638672
13,-0.1796875
14,-0.16796875
15,-0.24316406
16,-0.19140625
17,0.15429688
18,0.0095825195
19,-0.08105469
20,0.33203125
21,0.09667969
22,-0.05517578
23,-0.09716797
24,0.048583984
25,0.14355469
26,-0.19921875
27,-0.26953125
28,-0.22265625
29,0.27929688
30,-0.21191406
31,-0.23730469
32,-0.049072266
33,-0.06640625
34,-0.0057373047
35,-0.328125
36,-0.34570312
37,0.2265625
38,0.15625
39,-0.09423828
40,-0.006713867
41,-0.006713867
42,0.44921875
43,0.022949219
44,-0.064453125
45,0.026611328
46,0.17089844
47,0.00024604797
48,0.057373047
49,0.37109375
50,-0.18945312
51,0.096191406
52,0.033447266
53,0.29296875
54,0.0015792847
55,0.0033874512
56,-0.26367188
57,-0.061523438
58,-0.27148438
59,0.063964844
60,0.07421875
61,0.011230469
62,0.04296875
63,-0.23046875
64,0.017700195
65,-0.23144531
66,0.421875
67,-0.14746094
68,0.18652344
69,0.111816406
70,-0.07373047
71,-0.13378906
72,0.08251953
73,-0.15820312
74,-0.061279297
75,-0.265625
76,0.22070312
77,0.12695312
78,0.092285156
79,0.22753906
80,-0.13867188
81,-0.09082031
82,-0.14648438
83,-0.003112793
84,0.21875
85,-0.27148438
86,-0.15039062
87,-0.10449219
88,0.28125
89,-0.0546875
90,0.026367188
91,-0.14160156
92,-0.2890625
93,0.48828125
94,-0.3359375
95,-0.3828125
96,-0.296875
97,-0.46289062
98,-0.11767578
99,0.056884766
100,-0.22460938
101,0.059814453
102,0.056396484
103,0.14550781
104,0.16015625
105,-0.09863281
106,0.12988281
107,-0.016845703
108,0.05078125
109,-0.028808594
110,0.34179688
111,-0.013977051
112,-0.064453125
113,-0.19433594
114,-0.17773438
115,0.075683594
116,0.15527344
117,0.0022125244
118,0.35742188
119,0.21191406
120,-0.22753906
121,-0.15136719
122,-0.056396484
123,-0.010559082
124,-0.07714844
125,0.11621094
126,0.16796875
127,-0.13769531
128,-0.44921875
129,0.171875
130,-0.052490234
131,0.21972656
132,-0.19921875
133,-0.068359375
134,-0.021118164
135,0.0027160645
136,-0.14355469
137,0.076171875
138,0.13476562
139,-0.026123047
140,0.29101562
141,-0.14453125
142,0.23535156
143,0.3984375
144,0.06591797
145,0.044433594
146,0.2734375
147,0.024291992
148,-0.21582031
149,0.087402344
150,0.41015625
151,-0.24121094
152,0.13574219
153,-0.024536133
154,0.29101562
155,0.0859375
156,-0.119140625
157,-0.040771484
158,0.09765625
159,0.1015625
160,-0.1875
161,0.07373047
162,-0.09326172
163,-0.1484375
164,0.24414062
165,-0.10253906
166,-0.10253906
167,0.296875
168,-0.064453125
169,0.045166016
170,-0.2578125
171,0.23535156
172,0.06591797
173,0.08154297
174,-0.16894531
175,-0.16503906
176,0.13964844
177,-0.006286621
178,0.076171875
179,-0.15527344
180,0.18359375
181,-0.47265625
182,-0.052001953
183,0.0063476562
184,0.11376953
185,0.08251953
186,-0.088378906
187,-0.055908203
188,-0.25195312
189,0.18359375
190,-0.12207031
191,-0.39257812
192,-0.17382812
193,-0.07128906
194,0.18164062
195,0.0859375
196,-0.029052734
197,0.20410156
198,-0.30273438
199,-0.24902344
200,-0.060302734
201,-0.0054016113
202,-0.008300781
203,-0.046142578
204,0.04345703
205,-0.23535156
206,0.15820312
207,-0.06982422
208,-0.20117188
209,-0.25390625
210,0.16894531
211,-0.030273438
212,0.053466797
213,0.23046875
214,-0.21582031
215,-0.05517578
216,0.25585938
217,0.07470703
218,0.12988281
219,-0.20605469
220,0.060546875
221,-0.16796875
222,-0.052246094
223,-0.31054688
224,-0.328125
225,-0.047607422
226,0.12109375
227,0.08154297
228,0.18164062
229,-0.18554688
230,-0.18066406
231,0.296875
232,0.28125
233,0.076171875
234,0.05493164
235,0.29101562
236,-0.11035156
237,0.016357422
238,0.02709961
239,-0.022705078
240,-0.04711914
241,-0.07519531
242,-0.029907227
243,-0.06689453
244,-0.110839844
245,0.1640625
246,-0.15136719
247,0.16796875
248,-0.14257812
249,-0.23828125
250,0.21679688
251,0.19433594
252,0.40625
253,0.30078125
254,-0.19042969
255,0.4453125
256,0.29492188
257,0.12792969
258,0.18652344
259,-0.046875
260,0.328125
261,0.0051574707
262,0.26171875
263,0.34960938
264,0.61328125
265,0.0038909912
266,-0.15527344
267,-0.16894531
268,-0.10449219
269,-0.119140625
270,0.052734375
271,0.10253906
272,0.037841797
273,-0.06689453
274,0.21386719
275,-0.18847656
276,0.2578125
277,0.14355469
278,-0.18847656
279,0.23632812
280,0.0013504028
281,0.0546875
282,0.046875
283,0.08105469
284,-0.30078125
285,0.011657715
286,0.08105469
287,0.083496094
288,0.07470703
289,0.27929688
290,0.064453125
291,0.087402344
292,-0.21972656
293,0.115722656
294,-0.067871094
295,0.19824219
296,-0.06201172
297,-0.03540039
298,0.042236328
299,-0.15234375
