,Slovenia
0,0.03930664
1,-0.1015625
2,0.31054688
3,0.075683594
4,-0.02734375
5,-0.23632812
6,0.04248047
7,-0.40820312
8,-0.25390625
9,-0.15820312
10,-0.021972656
11,-0.029663086
12,0.06738281
13,-0.047851562
14,-0.12060547
15,-0.14160156
16,-0.12158203
17,0.05444336
18,0.060546875
19,0.037353516
20,0.27929688
21,0.040771484
22,-0.025756836
23,-0.08691406
24,-0.111328125
25,0.16210938
26,-0.022583008
27,-0.19628906
28,-0.13183594
29,0.17480469
30,-0.28710938
31,-0.31835938
32,0.09033203
33,-0.21875
34,0.13769531
35,-0.18261719
36,-0.07470703
37,0.296875
38,0.087890625
39,-0.010009766
40,0.033691406
41,0.13671875
42,0.42773438
43,0.04296875
44,-0.16113281
45,0.08935547
46,0.051513672
47,-0.15429688
48,-0.17578125
49,0.41015625
50,-0.23632812
51,0.1171875
52,0.09716797
53,0.15234375
54,0.04736328
55,0.18261719
56,-0.6015625
57,-0.03100586
58,-0.019897461
59,0.10058594
60,0.083496094
61,-0.017822266
62,-0.10107422
63,-0.31054688
64,-0.010620117
65,-0.15332031
66,0.38085938
67,-0.24316406
68,0.014343262
69,-0.20507812
70,-0.09863281
71,-0.35546875
72,0.16601562
73,-0.06347656
74,-0.20800781
75,-0.28320312
76,0.11279297
77,0.03491211
78,0.017700195
79,0.12988281
80,-0.03125
81,-0.33984375
82,-0.009460449
83,-0.16992188
84,0.19628906
85,-0.084472656
86,-0.0126953125
87,-0.107421875
88,0.46289062
89,0.075683594
90,0.22167969
91,-0.22949219
92,-0.51171875
93,0.27539062
94,-0.067871094
95,-0.27539062
96,-0.2109375
97,-0.33984375
98,-0.024536133
99,0.083496094
100,-0.017089844
101,-0.023071289
102,0.18847656
103,0.2578125
104,0.06298828
105,0.091796875
106,0.010559082
107,-0.18847656
108,0.18457031
109,-0.087890625
110,0.45117188
111,-0.122558594
112,-0.17285156
113,-0.17871094
114,-0.0859375
115,0.061035156
116,0.27929688
117,0.088378906
118,0.3515625
119,0.27148438
120,-0.33984375
121,-0.19824219
122,0.103515625
123,-0.057128906
124,0.091308594
125,-0.005279541
126,0.14257812
127,0.09326172
128,-0.68359375
129,0.1640625
130,-0.1171875
131,0.16210938
132,-0.30078125
133,0.016723633
134,-0.016235352
135,-0.083984375
136,-0.12109375
137,0.12792969
138,0.0024108887
139,-0.19433594
140,0.265625
141,-0.106933594
142,0.118652344
143,0.099609375
144,-0.115234375
145,-0.0037078857
146,-0.011474609
147,0.13378906
148,0.012207031
149,0.15917969
150,0.22070312
151,-0.16308594
152,-0.061767578
153,-0.06933594
154,0.27734375
155,-0.004760742
156,-0.103515625
157,0.0087890625
158,-0.071777344
159,0.29492188
160,-0.28125
161,0.051513672
162,0.046142578
163,-0.22265625
164,0.15039062
165,0.034179688
166,-0.13183594
167,0.31835938
168,-0.21386719
169,0.02355957
170,-0.21386719
171,0.25
172,-0.099609375
173,0.109375
174,-0.16699219
175,-0.103027344
176,-0.00015354156
177,-0.08984375
178,0.27539062
179,0.004180908
180,0.13378906
181,-0.3203125
182,-0.036132812
183,0.03857422
184,-0.22167969
185,0.09277344
186,-0.14160156
187,-0.06591797
188,-0.27148438
189,0.19238281
190,-0.10839844
191,-0.18164062
192,-0.111328125
193,0.061035156
194,0.28710938
195,0.30664062
196,-0.28125
197,0.10498047
198,-0.47070312
199,-0.140625
200,-0.119628906
201,-0.03515625
202,-0.009277344
203,-0.13085938
204,0.076171875
205,-0.2890625
206,0.084472656
207,-0.35546875
208,-0.22949219
209,-0.107910156
210,0.06225586
211,-0.1171875
212,-0.07421875
213,0.34960938
214,-0.27539062
215,-0.099121094
216,0.27929688
217,-0.110839844
218,0.16601562
219,-0.040283203
220,-0.23925781
221,-0.015014648
222,-0.13183594
223,-0.25390625
224,-0.47851562
225,0.18847656
226,0.091796875
227,0.16015625
228,0.2578125
229,-0.17285156
230,-0.1484375
231,0.17480469
232,0.16601562
233,0.03515625
234,0.14355469
235,0.30273438
236,0.00019550323
237,0.23828125
238,-0.079589844
239,-0.12792969
240,-0.006439209
241,-0.05810547
242,0.051757812
243,0.115234375
244,0.09814453
245,0.096191406
246,-0.07421875
247,0.04711914
248,-0.22070312
249,-0.23730469
250,0.29101562
251,0.27148438
252,0.21875
253,0.34765625
254,0.06640625
255,0.34375
256,0.22363281
257,-0.11621094
258,0.115234375
259,-0.0390625
260,0.22753906
261,0.12451172
262,0.20605469
263,0.22070312
264,0.54296875
265,0.0138549805
266,-0.2734375
267,-0.171875
268,-0.07910156
269,0.068847656
270,0.056396484
271,0.16894531
272,0.09375
273,0.07519531
274,0.2421875
275,-0.013000488
276,0.28515625
277,-0.04272461
278,-0.18457031
279,0.17480469
280,0.022949219
281,0.15625
282,0.06738281
283,-0.04272461
284,-0.39257812
285,-0.107910156
286,-0.008239746
287,0.0119018555
288,-0.024902344
289,0.29492188
290,0.20800781
291,0.119628906
292,-0.35742188
293,-0.10595703
294,0.04272461
295,0.38476562
296,-0.17675781
297,0.060058594
298,0.30078125
299,0.12011719
