,Solomon_Islands
0,0.29492188
1,-0.43164062
2,0.057128906
3,-0.10644531
4,-0.29492188
5,-0.34960938
6,-0.15234375
7,-0.27539062
8,0.01586914
9,0.14648438
10,0.28320312
11,-0.0047302246
12,0.24121094
13,0.044921875
14,0.1484375
15,0.25976562
16,-0.38671875
17,0.22070312
18,-0.079589844
19,0.19726562
20,0.34179688
21,-0.24804688
22,0.24707031
23,-0.26367188
24,0.12402344
25,0.025024414
26,0.07861328
27,-0.01965332
28,-0.13964844
29,0.024658203
30,0.1640625
31,-0.37695312
32,-0.2734375
33,-0.18652344
34,0.30859375
35,-0.049072266
36,-0.100097656
37,-0.07324219
38,0.025512695
39,-0.061035156
40,-0.23925781
41,0.42382812
42,-0.004272461
43,0.31835938
44,-0.004638672
45,0.056884766
46,-0.26171875
47,-0.17382812
48,0.084472656
49,-0.28125
50,0.012756348
51,-0.46289062
52,0.16113281
53,-0.28515625
54,-0.28515625
55,-0.049804688
56,-0.5078125
57,-0.10253906
58,-0.24707031
59,-0.3359375
60,-0.37890625
61,-0.14453125
62,-0.053710938
63,0.328125
64,0.27539062
65,-0.01953125
66,0.15820312
67,-0.36914062
68,-0.021240234
69,-0.20410156
70,-0.39257812
71,-0.0014801025
72,-0.02722168
73,0.088378906
74,-0.17871094
75,-0.40625
76,0.25195312
77,-0.14648438
78,0.296875
79,0.22753906
80,-0.41796875
81,0.012634277
82,-0.34179688
83,-0.115722656
84,-0.16992188
85,-0.265625
86,0.016479492
87,-0.18457031
88,-0.15820312
89,0.09082031
90,0.15429688
91,0.22167969
92,-0.088378906
93,0.107910156
94,-0.26757812
95,-0.07324219
96,0.29492188
97,-0.13574219
98,0.14355469
99,0.13574219
100,-0.06933594
101,0.44140625
102,0.42382812
103,-0.18554688
104,-0.084472656
105,0.25390625
106,-0.057128906
107,-0.35742188
108,0.20410156
109,0.32226562
110,-0.13183594
111,0.18945312
112,-0.13183594
113,0.19238281
114,-0.039794922
115,-0.19335938
116,0.03112793
117,-0.19433594
118,0.055908203
119,0.20898438
120,-0.080566406
121,0.122558594
122,-0.0625
123,0.103515625
124,-0.064941406
125,0.234375
126,-0.41015625
127,0.20800781
128,-0.40820312
129,0.28710938
130,0.17675781
131,0.06225586
132,-0.265625
133,-0.0048217773
134,-0.34375
135,-0.007751465
136,-0.20800781
137,-0.24804688
138,-0.020019531
139,0.23242188
140,0.064941406
141,-0.107910156
142,0.28515625
143,0.034179688
144,0.19433594
145,0.12158203
146,-0.14648438
147,-0.041503906
148,-0.111328125
149,0.33007812
150,0.27734375
151,-0.17382812
152,0.06591797
153,0.20800781
154,0.17285156
155,-0.18847656
156,-0.01574707
157,-0.41601562
158,0.048583984
159,0.018676758
160,-0.2734375
161,0.19042969
162,0.044677734
163,-0.2109375
164,0.045410156
165,-0.45117188
166,0.12207031
167,-0.02368164
168,0.076660156
169,0.14257812
170,0.23730469
171,0.171875
172,-0.012451172
173,-0.03955078
174,0.09277344
175,-0.072265625
176,0.19824219
177,-0.032958984
178,0.1796875
179,0.0056762695
180,-0.006225586
181,-0.22949219
182,0.072265625
183,-0.13964844
184,-0.32226562
185,-0.044189453
186,-0.095703125
187,-0.38085938
188,0.10595703
189,0.09423828
190,-0.17089844
191,-0.18652344
192,-0.33007812
193,-0.25976562
194,0.01550293
195,0.29492188
196,0.32421875
197,0.15039062
198,-0.21386719
199,-0.46679688
200,-0.00089263916
201,-0.20117188
202,-0.0035858154
203,-0.016845703
204,-0.28125
205,-0.06689453
206,-0.013305664
207,-0.35351562
208,-0.09326172
209,-0.31640625
210,-0.38867188
211,-0.10986328
212,0.10986328
213,0.006500244
214,-0.12890625
215,-0.11621094
216,0.20117188
217,0.020141602
218,0.05444336
219,-0.12597656
220,0.25195312
221,-0.21972656
222,-0.29492188
223,-0.06689453
224,0.037597656
225,-0.009094238
226,0.24804688
227,0.37890625
228,0.47460938
229,-0.056640625
230,-0.045166016
231,-0.16015625
232,0.08203125
233,-0.19433594
234,0.14941406
235,0.47265625
236,0.04345703
237,0.30859375
238,-0.057373047
239,0.19921875
240,0.15136719
241,0.053466797
242,0.10498047
243,0.08886719
244,0.032470703
245,-0.22363281
246,-0.43945312
247,-0.002243042
248,0.40820312
249,-0.234375
250,-0.14648438
251,0.07373047
252,0.3125
253,-0.033203125
254,0.012634277
255,0.10449219
256,0.4296875
257,-0.13085938
258,0.13085938
259,0.055419922
260,0.25585938
261,0.08251953
262,0.06933594
263,0.036621094
264,-0.30273438
265,-0.34570312
266,-0.32421875
267,-0.111816406
268,0.12402344
269,-0.068359375
270,-0.31445312
271,0.21386719
272,-0.005706787
273,0.25390625
274,-0.1171875
275,-0.059814453
276,0.12890625
277,-0.04736328
278,0.023803711
279,0.30859375
280,-0.111816406
281,-0.28710938
282,0.24609375
283,-0.07519531
284,0.23144531
285,0.26171875
286,0.045166016
287,0.06298828
288,0.15039062
289,0.28515625
290,-0.2421875
291,0.203125
292,-0.13085938
293,-0.10107422
294,-0.08496094
295,0.19628906
296,-0.30273438
297,-0.21289062
298,0.15136719
299,0.29296875
