,South_Korea
0,0.092285156
1,0.31445312
2,0.25195312
3,-0.06982422
4,-0.12695312
5,-0.21972656
6,-0.14453125
7,-0.13769531
8,-0.08984375
9,0.09814453
10,-0.107421875
11,-0.099609375
12,0.13574219
13,-0.23339844
14,-0.099121094
15,-0.0071411133
16,-0.17871094
17,0.20214844
18,0.11669922
19,-0.38085938
20,0.14453125
21,-0.29101562
22,-0.05029297
23,-0.16015625
24,0.06640625
25,0.03112793
26,-0.2109375
27,-0.21289062
28,-0.17285156
29,0.20507812
30,-0.21679688
31,-0.09033203
32,-0.15527344
33,-0.25976562
34,0.0035247803
35,-0.21386719
36,-0.09277344
37,0.12109375
38,0.3984375
39,-0.019897461
40,-0.0040893555
41,-0.17285156
42,0.119140625
43,0.16992188
44,-0.15820312
45,0.27539062
46,-0.04248047
47,-0.024047852
48,-0.040771484
49,0.19140625
50,0.18359375
51,0.07470703
52,-0.16699219
53,0.20996094
54,-0.12988281
55,0.265625
56,-0.5625
57,-0.100097656
58,0.1015625
59,-0.009765625
60,-0.0023345947
61,0.18652344
62,-0.06982422
63,0.007232666
64,0.12207031
65,-0.1796875
66,0.13378906
67,-0.22949219
68,-0.06298828
69,-0.02319336
70,-0.171875
71,-0.1015625
72,0.24316406
73,0.025512695
74,0.080566406
75,-0.17773438
76,-0.024414062
77,0.11230469
78,0.15820312
79,0.091308594
80,-0.08105469
81,-0.359375
82,0.13574219
83,0.17285156
84,0.06591797
85,-0.25976562
86,0.045898438
87,-0.012512207
88,-0.014099121
89,-0.068359375
90,0.0050354004
91,0.010314941
92,-0.2421875
93,-0.15136719
94,0.07080078
95,-0.111328125
96,-0.16894531
97,-0.057617188
98,0.12695312
99,0.092285156
100,-0.017944336
101,-0.12060547
102,-0.08496094
103,0.110839844
104,-0.19238281
105,0.25390625
106,0.05834961
107,-0.28320312
108,0.13671875
109,0.29296875
110,0.022583008
111,-0.039794922
112,0.13769531
113,-0.0234375
114,0.13085938
115,0.052246094
116,0.010986328
117,-0.16015625
118,0.41796875
119,0.17480469
120,-0.11230469
121,-0.13671875
122,-0.030029297
123,0.3046875
124,0.022949219
125,-0.0011520386
126,0.07373047
127,-0.13964844
128,-0.41992188
129,-0.041259766
130,-0.067871094
131,0.31445312
132,0.022216797
133,-0.33203125
134,-0.025146484
135,-0.12792969
136,-0.10253906
137,-0.29492188
138,-0.140625
139,-0.08105469
140,0.11230469
141,-0.14355469
142,0.24511719
143,0.45703125
144,-0.0005187988
145,0.08154297
146,-0.10546875
147,-0.084472656
148,-0.13867188
149,0.03857422
150,0.375
151,-0.24902344
152,0.21484375
153,-0.31640625
154,-0.13867188
155,-0.26757812
156,-0.38085938
157,-0.21386719
158,0.42578125
159,0.12695312
160,0.0703125
161,0.0546875
162,0.22167969
163,0.23046875
164,0.16699219
165,-0.296875
166,0.12792969
167,0.18164062
168,-0.064453125
169,0.3984375
170,0.0002117157
171,0.41992188
172,0.11279297
173,0.03564453
174,-0.12792969
175,-0.31640625
176,0.2578125
177,0.072753906
178,-0.16894531
179,-0.20507812
180,0.046142578
181,-0.4765625
182,0.125
183,0.016113281
184,0.17480469
185,0.0146484375
186,0.203125
187,-0.118652344
188,-0.1015625
189,0.24511719
190,-0.16992188
191,-0.31445312
192,-0.022949219
193,-0.24902344
194,-0.12109375
195,0.24511719
196,0.20898438
197,-0.21972656
198,-0.0859375
199,-0.34570312
200,0.08154297
201,-0.31445312
202,-0.072753906
203,0.12597656
204,-0.20507812
205,-0.2265625
206,-0.045654297
207,-0.6171875
208,-0.2890625
209,-0.24316406
210,-0.0703125
211,0.017089844
212,-0.076171875
213,0.31054688
214,-0.07373047
215,-0.118652344
216,-0.09765625
217,0.09472656
218,-0.19726562
219,0.017822266
220,-0.19238281
221,-0.08642578
222,0.20410156
223,-0.17871094
224,-0.21386719
225,-0.0119018555
226,0.022338867
227,0.10058594
228,0.24121094
229,-0.28710938
230,-0.22460938
231,-0.08251953
232,0.1796875
233,0.16015625
234,0.421875
235,0.12890625
236,-0.26953125
237,0.079589844
238,-0.10644531
239,-0.011657715
240,0.01574707
241,-0.140625
242,-0.0625
243,-0.1875
244,-0.26757812
245,-0.12060547
246,-0.20996094
247,-0.17285156
248,0.038330078
249,-0.33398438
250,-0.080078125
251,0.033203125
252,0.24707031
253,-0.122558594
254,-0.06640625
255,0.08154297
256,0.15039062
257,-0.25195312
258,-0.118652344
259,0.16796875
260,0.109375
261,0.016845703
262,0.26757812
263,0.14941406
264,0.41015625
265,-0.24609375
266,-0.29492188
267,-0.24511719
268,0.171875
269,0.010009766
270,-0.0064086914
271,0.16015625
272,0.13085938
273,-0.21777344
274,0.26171875
275,0.20019531
276,-0.22265625
277,-0.00022602081
278,0.11035156
279,0.25390625
280,0.13769531
281,-0.044433594
282,-0.11425781
283,0.118652344
284,-0.12890625
285,0.028076172
286,-0.06982422
287,0.07763672
288,0.037353516
289,0.28710938
290,0.059326172
291,-0.16894531
292,0.16308594
293,-0.056152344
294,0.14160156
295,-0.24414062
296,-0.14453125
297,0.045166016
298,-0.064453125
299,0.033935547
