,St._Helena
0,-0.071777344
1,-0.088378906
2,-0.35742188
3,0.20996094
4,-0.040283203
5,-0.13574219
6,-0.20605469
7,-0.016235352
8,0.0859375
9,0.09472656
10,0.15136719
11,-0.09667969
12,0.09326172
13,-0.013366699
14,0.13671875
15,0.28710938
16,-0.13378906
17,0.2890625
18,0.08691406
19,0.36523438
20,0.08544922
21,0.095703125
22,0.013793945
23,0.203125
24,-0.15039062
25,0.19824219
26,0.15527344
27,0.13964844
28,-0.20800781
29,-0.19824219
30,0.20996094
31,-0.18554688
32,-0.33007812
33,-0.1796875
34,0.19824219
35,-0.24902344
36,0.33789062
37,-0.265625
38,0.040283203
39,0.025878906
40,-0.1796875
41,0.03540039
42,-0.26953125
43,-0.29101562
44,0.1796875
45,0.106933594
46,-0.21386719
47,0.21972656
48,-0.16894531
49,0.008544922
50,-0.13476562
51,-0.03112793
52,-0.16015625
53,-0.49804688
54,-0.11230469
55,0.25585938
56,-0.23632812
57,0.23144531
58,-0.022338867
59,-0.14257812
60,-0.052490234
61,0.095214844
62,-0.13574219
63,-0.16894531
64,-0.122558594
65,-0.05834961
66,-0.045410156
67,-0.05859375
68,-0.018310547
69,0.04711914
70,0.171875
71,-0.009277344
72,0.011779785
73,0.017700195
74,0.049560547
75,0.119628906
76,0.24609375
77,-0.31054688
78,0.15429688
79,0.18261719
80,-0.049072266
81,-0.13085938
82,0.030761719
83,0.087890625
84,0.19433594
85,0.23144531
86,-0.22558594
87,0.22070312
88,0.015625
89,-0.32226562
90,0.21289062
91,-0.08251953
92,0.13671875
93,0.068847656
94,0.21386719
95,0.25
96,0.07324219
97,-0.25585938
98,-0.18945312
99,0.19628906
100,-0.11425781
101,-0.038085938
102,-0.10986328
103,-0.0703125
104,0.03857422
105,-0.06298828
106,-0.014709473
107,-0.16796875
108,-0.1484375
109,0.24023438
110,-0.18945312
111,0.08251953
112,0.16992188
113,-0.19824219
114,0.02368164
115,0.33789062
116,0.13183594
117,-0.22363281
118,0.0041503906
119,-0.011352539
120,-0.28125
121,0.15625
122,0.022460938
123,-0.21484375
124,0.123046875
125,0.071777344
126,-0.060302734
127,0.19726562
128,-0.34179688
129,0.39648438
130,-0.22558594
131,-0.088378906
132,-0.41015625
133,-0.23144531
134,0.26757812
135,0.15039062
136,-0.40820312
137,0.064453125
138,0.15332031
139,-0.19238281
140,0.0066223145
141,-0.16796875
142,0.13378906
143,-0.3125
144,0.25390625
145,0.06201172
146,0.18847656
147,-0.30078125
148,-0.06738281
149,-0.030761719
150,0.11816406
151,0.10498047
152,-0.18945312
153,0.4375
154,0.06933594
155,-0.1640625
156,0.14648438
157,0.28125
158,-0.25
159,-0.060546875
160,-0.09082031
161,0.34179688
162,0.071777344
163,-0.0021362305
164,0.08496094
165,-0.24609375
166,0.20507812
167,0.37695312
168,0.030639648
169,-0.032958984
170,-0.203125
171,0.0020446777
172,-0.06201172
173,-0.017578125
174,-0.23144531
175,-0.060302734
176,-0.078125
177,0.06298828
178,-0.11621094
179,0.33398438
180,-0.46875
181,-0.0546875
182,-0.16015625
183,0.0053100586
184,-0.000111579895
185,-0.11816406
186,0.083984375
187,-0.27148438
188,0.055419922
189,-0.30273438
190,0.20703125
191,0.18359375
192,-0.028808594
193,-0.064941406
194,-0.21386719
195,0.08984375
196,0.296875
197,0.1875
198,0.1015625
199,0.13378906
200,0.36328125
201,-0.19433594
202,0.25195312
203,-0.024414062
204,-0.06933594
205,-0.23535156
206,-0.07519531
207,0.14550781
208,0.18554688
209,-0.26757812
210,-0.33007812
211,-0.046875
212,-0.08300781
213,0.018310547
214,-0.03491211
215,0.15722656
216,-0.15820312
217,0.21679688
218,0.2890625
219,-0.034179688
220,0.34375
221,-0.059326172
222,-0.12109375
223,-0.19921875
224,-0.061767578
225,0.1484375
226,0.35546875
227,0.19824219
228,0.27929688
229,0.21484375
230,-0.45898438
231,-0.07861328
232,-0.037109375
233,0.014587402
234,-0.13378906
235,0.12060547
236,0.12060547
237,-0.13671875
238,0.06689453
239,-0.18164062
240,0.22363281
241,0.056640625
242,0.21679688
243,0.16992188
244,-0.28710938
245,-0.23144531
246,-0.34179688
247,-0.21191406
248,0.0015258789
249,-0.05908203
250,0.13085938
251,-0.12207031
252,0.096191406
253,0.11035156
254,0.25
255,0.020874023
256,0.1875
257,0.014770508
258,-0.013305664
259,-0.30859375
260,0.106933594
261,-0.019165039
262,-0.15820312
263,0.14257812
264,-0.07910156
265,-0.07910156
266,-0.35351562
267,-0.059326172
268,-0.14160156
269,0.011779785
270,-0.296875
271,0.029907227
272,-0.022338867
273,0.20996094
274,0.052734375
275,0.13183594
276,0.00092315674
277,-0.12988281
278,-0.16601562
279,-0.0019073486
280,-0.14257812
281,-0.15429688
282,0.17285156
283,0.328125
284,-0.08105469
285,0.13476562
286,-0.32617188
287,0.20214844
288,-0.13378906
289,0.11279297
290,0.19238281
291,0.084472656
292,0.0703125
293,0.052978516
294,-0.028808594
295,-0.11279297
296,-0.048095703
297,-0.25390625
298,0.13867188
299,0.25
