,Taiwan
0,-0.034423828
1,-0.068847656
2,0.087402344
3,0.09423828
4,-0.21582031
5,-0.20117188
6,-0.025390625
7,-0.04638672
8,-0.092285156
9,0.036132812
10,-0.21777344
11,-0.08496094
12,0.05810547
13,-0.123046875
14,0.001335144
15,-0.08642578
16,-0.16308594
17,0.14355469
18,0.0004310608
19,0.06689453
20,0.3984375
21,-0.32421875
22,0.019897461
23,0.08886719
24,-0.06982422
25,0.2109375
26,0.068359375
27,0.080078125
28,-0.12890625
29,0.43554688
30,0.08886719
31,-0.19335938
32,-0.38476562
33,-0.15429688
34,0.17871094
35,-0.08984375
36,-0.29101562
37,0.296875
38,0.43164062
39,-0.004425049
40,0.12597656
41,-0.020263672
42,0.051757812
43,-0.15136719
44,0.03540039
45,0.06640625
46,-0.07861328
47,0.114746094
48,0.026123047
49,0.11035156
50,-0.048095703
51,-0.099609375
52,-0.18164062
53,0.14550781
54,-0.37695312
55,0.26367188
56,-0.49609375
57,-0.36132812
58,0.45507812
59,0.031982422
60,-0.022827148
61,0.37304688
62,0.06347656
63,0.005004883
64,0.059326172
65,-0.10058594
66,-0.032714844
67,-0.11621094
68,0.029785156
69,0.16015625
70,-0.38476562
71,0.037841797
72,0.18457031
73,-0.076660156
74,0.030395508
75,-0.28125
76,0.16699219
77,-0.09667969
78,0.07324219
79,-0.032714844
80,-0.09667969
81,-0.21972656
82,0.055908203
83,0.088378906
84,-0.26953125
85,-0.0390625
86,-0.119628906
87,0.10986328
88,0.115234375
89,0.046142578
90,0.042236328
91,0.106933594
92,-0.41210938
93,-0.16894531
94,0.018188477
95,0.25195312
96,0.26171875
97,0.018310547
98,0.18847656
99,0.15820312
100,-0.072265625
101,0.1640625
102,-0.003540039
103,-0.024902344
104,0.14453125
105,0.3046875
106,0.037109375
107,-0.36914062
108,0.23144531
109,0.15527344
110,-0.44140625
111,0.15234375
112,-0.15722656
113,-0.040771484
114,0.06640625
115,0.16699219
116,-0.0126953125
117,-0.09375
118,0.29882812
119,-0.00027656555
120,-0.083496094
121,0.16113281
122,-0.080078125
123,0.05078125
124,-0.012878418
125,0.119628906
126,-0.10888672
127,-0.041992188
128,-0.3125
129,-0.002670288
130,0.123046875
131,0.30664062
132,-0.14746094
133,0.11279297
134,-0.29492188
135,-0.076660156
136,-0.30273438
137,-0.12158203
138,-0.13964844
139,-0.40234375
140,-0.039794922
141,-0.002243042
142,0.2265625
143,0.2265625
144,0.0546875
145,0.115722656
146,0.09667969
147,-0.33203125
148,-0.06298828
149,0.25195312
150,0.067871094
151,-0.40820312
152,0.16699219
153,0.012207031
154,-0.15625
155,-0.32617188
156,-0.375
157,-0.13964844
158,0.2734375
159,-0.030029297
160,-0.3359375
161,0.06689453
162,0.25976562
163,0.15136719
164,-0.037109375
165,-0.45507812
166,0.16210938
167,0.36328125
168,-0.08642578
169,0.09375
170,-0.10546875
171,0.037109375
172,0.32226562
173,0.002166748
174,0.08691406
175,-0.20214844
176,0.088378906
177,0.041015625
178,0.107421875
179,-0.31445312
180,-0.19726562
181,-0.25585938
182,0.118652344
183,-0.17675781
184,0.15332031
185,-0.18847656
186,0.26953125
187,-0.12988281
188,-0.018798828
189,-0.07714844
190,0.015075684
191,-0.123046875
192,-0.25
193,-0.10498047
194,-0.19628906
195,0.33984375
196,-0.09765625
197,-0.390625
198,-0.19042969
199,-0.3046875
200,0.032470703
201,-0.22363281
202,-0.091308594
203,0.19726562
204,-0.36523438
205,-0.19628906
206,-0.05859375
207,-0.609375
208,-0.13476562
209,-0.08984375
210,-0.026611328
211,-0.09033203
212,-0.22460938
213,0.41796875
214,-0.1015625
215,-0.12792969
216,-0.111816406
217,0.21191406
218,0.19921875
219,0.08154297
220,-0.038330078
221,-0.15039062
222,-0.14160156
223,0.07128906
224,-0.15820312
225,-0.099609375
226,-0.0052490234
227,0.13574219
228,0.20507812
229,0.02355957
230,-0.14355469
231,0.100097656
232,0.022460938
233,-0.21679688
234,0.17578125
235,0.234375
236,-0.38085938
237,0.29101562
238,-0.15820312
239,0.05053711
240,0.09814453
241,-0.23535156
242,-0.15625
243,-0.008911133
244,0.06298828
245,-0.1875
246,-0.43164062
247,0.11816406
248,0.2265625
249,-0.30859375
250,-0.19726562
251,-0.13964844
252,0.31054688
253,-0.032226562
254,-0.028076172
255,0.056396484
256,0.22851562
257,-0.1171875
258,-0.19140625
259,0.375
260,0.19042969
261,0.02319336
262,0.15625
263,-0.26171875
264,0.2734375
265,0.0023345947
266,-0.31640625
267,-0.107910156
268,0.10449219
269,-0.18847656
270,-0.24316406
271,0.041259766
272,0.17871094
273,0.052978516
274,0.055664062
275,-0.018676758
276,-0.19238281
277,0.07519531
278,-0.0049438477
279,0.24804688
280,0.013305664
281,0.15722656
282,0.28710938
283,0.12060547
284,0.07714844
285,-0.20214844
286,-0.20507812
287,0.28320312
288,-0.099609375
289,0.08886719
290,0.096191406
291,0.10644531
292,0.12451172
293,-0.03491211
294,0.11279297
295,-0.010437012
296,-0.328125
297,0.03881836
298,0.16113281
299,0.052490234
