,Thailand
0,0.10986328
1,-0.1171875
2,0.010009766
3,0.23828125
4,-0.19335938
5,0.060302734
6,0.059326172
7,-0.40234375
8,-0.13964844
9,0.14453125
10,0.15917969
11,-0.17871094
12,0.265625
13,-0.28515625
14,0.068847656
15,-0.21777344
16,-0.25976562
17,0.14453125
18,0.080566406
19,-0.07910156
20,0.20410156
21,-0.13183594
22,0.018676758
23,0.02355957
24,0.11376953
25,-0.16015625
26,-0.21191406
27,-0.012512207
28,0.050048828
29,0.375
30,-0.24023438
31,-0.20800781
32,-0.07324219
33,-0.060546875
34,0.067871094
35,-0.05053711
36,-0.41015625
37,0.08251953
38,0.20800781
39,-0.068847656
40,-0.103027344
41,0.17578125
42,0.0703125
43,0.15332031
44,-0.024047852
45,-0.140625
46,-0.17773438
47,0.3125
48,0.296875
49,0.0066223145
50,-0.17675781
51,0.0024108887
52,-0.109375
53,0.15039062
54,-0.19726562
55,0.12890625
56,-0.20214844
57,-0.09863281
58,0.08642578
59,-0.0039978027
60,-0.14355469
61,0.072753906
62,0.01586914
63,0.14160156
64,0.06542969
65,-0.16113281
66,0.16308594
67,-0.2265625
68,0.18261719
69,0.1640625
70,-0.16796875
71,0.08691406
72,0.16503906
73,0.09326172
74,0.091796875
75,-0.38671875
76,0.0014266968
77,-0.025146484
78,0.234375
79,0.12597656
80,-0.20117188
81,-0.06591797
82,-0.07519531
83,-0.16503906
84,-0.0703125
85,-0.34375
86,-0.29296875
87,0.05053711
88,-0.07373047
89,-0.048828125
90,0.41796875
91,0.16992188
92,-0.21875
93,-0.05419922
94,-0.2734375
95,-0.09814453
96,0.0011291504
97,-0.15917969
98,0.171875
99,0.23339844
100,-0.05810547
101,0.32617188
102,0.020263672
103,0.016967773
104,0.05859375
105,0.14550781
106,0.09863281
107,-0.17675781
108,0.09423828
109,0.07861328
110,-0.06347656
111,0.07421875
112,-0.08300781
113,-0.20898438
114,0.026000977
115,-0.042236328
116,0.06542969
117,-0.24902344
118,0.32617188
119,0.07714844
120,-0.06640625
121,0.07519531
122,0.14453125
123,0.002243042
124,-0.008178711
125,0.07470703
126,-0.13769531
127,-0.13476562
128,-0.1171875
129,0.032470703
130,-0.027954102
131,0.05102539
132,0.15234375
133,-0.14941406
134,-0.16015625
135,-0.0075683594
136,-0.15917969
137,0.09326172
138,-0.17382812
139,0.045410156
140,0.11816406
141,-0.21679688
142,0.22753906
143,0.11376953
144,0.31445312
145,-0.087890625
146,-0.114746094
147,-0.09277344
148,-0.11328125
149,0.06542969
150,0.27734375
151,-0.375
152,0.11328125
153,-0.26171875
154,0.15136719
155,-0.22070312
156,-0.46484375
157,-0.19238281
158,0.21875
159,0.15527344
160,-0.32226562
161,0.07373047
162,0.13867188
163,0.115234375
164,0.02722168
165,-0.2265625
166,0.034423828
167,0.010375977
168,0.15722656
169,0.20996094
170,0.053222656
171,0.37304688
172,0.14941406
173,0.14648438
174,-0.030029297
175,-0.09472656
176,0.2890625
177,0.09667969
178,0.022338867
179,-0.29101562
180,0.020507812
181,-0.16308594
182,-0.21972656
183,-0.16015625
184,0.007171631
185,-0.13769531
186,0.32421875
187,-0.044677734
188,0.24609375
189,0.13867188
190,-0.31445312
191,-0.34960938
192,-0.083984375
193,-0.17089844
194,0.09277344
195,0.31445312
196,0.1953125
197,-0.107421875
198,-0.024169922
199,-0.3984375
200,-0.037109375
201,-0.13378906
202,0.28710938
203,0.072753906
204,-0.37109375
205,-0.15429688
206,0.005859375
207,-0.15917969
208,0.030639648
209,-0.047851562
210,-0.10058594
211,0.12451172
212,-0.029296875
213,0.09033203
214,0.057861328
215,-0.034179688
216,0.018432617
217,0.36914062
218,0.0859375
219,0.004852295
220,-0.23828125
221,-0.2578125
222,-0.15820312
223,-0.16015625
224,0.08691406
225,-0.09375
226,0.03515625
227,0.07128906
228,0.1484375
229,-0.091308594
230,-0.057373047
231,-0.05859375
232,0.20019531
233,0.01965332
234,0.27539062
235,0.20410156
236,-0.05493164
237,0.20605469
238,0.061767578
239,-0.0625
240,0.21875
241,-0.061523438
242,-0.12890625
243,0.18945312
244,-0.14355469
245,-0.03540039
246,-0.19140625
247,-0.17675781
248,0.29101562
249,-0.24023438
250,0.017700195
251,0.11230469
252,-0.047851562
253,-0.011352539
254,-0.026855469
255,0.025390625
256,0.05444336
257,0.19824219
258,0.072753906
259,-0.0040893555
260,0.18945312
261,0.08496094
262,0.3359375
263,-0.0859375
264,0.25195312
265,-0.025390625
266,-0.24804688
267,-0.06298828
268,0.57421875
269,0.01361084
270,0.22460938
271,0.10986328
272,-0.052978516
273,-0.021850586
274,0.13867188
275,0.14550781
276,-0.20117188
277,-0.080078125
278,-0.09667969
279,-0.08496094
280,0.20214844
281,-0.28515625
282,0.17578125
283,-0.23535156
284,0.24804688
285,0.09814453
286,-0.10253906
287,-0.13867188
288,-0.09716797
289,0.16601562
290,-0.035888672
291,0.14648438
292,-0.11035156
293,-0.08251953
294,-0.07324219
295,0.076171875
296,-0.32617188
297,-0.048583984
298,0.13085938
299,0.24121094
