,Tonga
0,0.13769531
1,-0.11328125
2,0.06347656
3,-0.11328125
4,0.032470703
5,-0.27734375
6,-0.28125
7,-0.25390625
8,0.064941406
9,0.23046875
10,0.2734375
11,-0.1953125
12,0.095214844
13,0.14355469
14,-0.02319336
15,-0.057128906
16,-0.23730469
17,0.234375
18,-0.060791016
19,0.22265625
20,0.30273438
21,-0.47460938
22,0.08300781
23,-0.19824219
24,0.071777344
25,-0.045166016
26,-0.25195312
27,-0.234375
28,0.20800781
29,-0.037597656
30,-0.083496094
31,-0.044677734
32,-0.48828125
33,-0.15234375
34,0.18457031
35,0.17285156
36,-0.171875
37,0.0032348633
38,-0.16308594
39,0.09082031
40,-0.14746094
41,0.18359375
42,0.29882812
43,0.2578125
44,-0.09765625
45,0.53125
46,-0.296875
47,0.083496094
48,-0.0018615723
49,-0.13085938
50,0.16503906
51,-0.34960938
52,0.18554688
53,-0.31054688
54,-0.16796875
55,0.10986328
56,-0.609375
57,0.040527344
58,-0.110839844
59,-0.29492188
60,-0.22558594
61,-0.035888672
62,-0.118652344
63,-0.026367188
64,0.1640625
65,0.010070801
66,0.114746094
67,-0.17871094
68,0.11767578
69,0.032470703
70,-0.08203125
71,-0.37109375
72,-0.265625
73,0.12402344
74,0.111328125
75,-0.4375
76,0.3046875
77,-0.071777344
78,0.35742188
79,0.18359375
80,-0.064941406
81,-0.08984375
82,-0.38476562
83,-0.34765625
84,-0.15917969
85,-0.15722656
86,-0.26953125
87,-0.18457031
88,-0.17089844
89,0.010864258
90,0.26171875
91,-0.09326172
92,-0.2109375
93,-0.061279297
94,0.12158203
95,-0.07910156
96,0.08984375
97,-0.1640625
98,0.10107422
99,-0.1640625
100,0.009338379
101,0.46289062
102,0.15527344
103,-0.18457031
104,0.29882812
105,0.055664062
106,-0.14746094
107,0.025756836
108,0.23535156
109,0.23730469
110,-0.09716797
111,0.122558594
112,0.11621094
113,-0.114746094
114,0.015625
115,-0.05053711
116,0.09423828
117,-0.012268066
118,0.095214844
119,0.024047852
120,-0.22167969
121,-0.026733398
122,-0.079589844
123,0.16015625
124,-0.029296875
125,0.32226562
126,-0.24609375
127,0.29492188
128,-0.25585938
129,0.13867188
130,0.08935547
131,0.24316406
132,-0.18945312
133,0.1875
134,-0.05810547
135,-0.08203125
136,-0.51953125
137,0.24414062
138,-0.13671875
139,0.32226562
140,0.11816406
141,-0.28320312
142,0.26953125
143,0.06982422
144,0.22753906
145,0.18066406
146,-0.28515625
147,-0.031982422
148,0.020751953
149,0.30078125
150,0.14355469
151,-0.18945312
152,0.109375
153,-0.0099487305
154,0.24414062
155,-0.16503906
156,0.10986328
157,-0.22851562
158,-0.03173828
159,0.013793945
160,-0.109375
161,0.17089844
162,0.24902344
163,-0.076171875
164,0.13867188
165,-0.56640625
166,0.20410156
167,0.06640625
168,-0.07763672
169,-0.04736328
170,-0.05444336
171,0.21582031
172,0.008483887
173,0.04736328
174,0.06933594
175,-0.14453125
176,-0.06542969
177,0.11230469
178,0.17285156
179,0.06542969
180,0.27734375
181,-0.36914062
182,-0.09375
183,-0.07910156
184,-0.14453125
185,0.021118164
186,0.16015625
187,-0.09277344
188,-0.045898438
189,0.020996094
190,-0.0018005371
191,-0.03540039
192,-0.13671875
193,-0.004211426
194,0.2578125
195,0.33007812
196,0.05419922
197,0.11621094
198,-0.07421875
199,-0.53515625
200,-0.0019683838
201,-0.20117188
202,-0.18554688
203,-0.014404297
204,-0.04711914
205,-0.051757812
206,-0.018188477
207,-0.16992188
208,0.35742188
209,-0.36523438
210,-0.0015258789
211,0.033935547
212,0.103027344
213,0.015014648
214,-0.1640625
215,-0.0146484375
216,0.099121094
217,-0.06591797
218,0.03173828
219,-0.029052734
220,-0.035888672
221,-0.13378906
222,-0.008300781
223,-0.17773438
224,-0.011230469
225,0.31835938
226,0.041992188
227,0.49023438
228,0.14257812
229,0.15429688
230,-0.23144531
231,-0.20605469
232,0.21777344
233,0.11816406
234,-0.026367188
235,0.34179688
236,0.118652344
237,0.08154297
238,-0.15234375
239,0.33007812
240,0.25195312
241,0.3671875
242,0.04248047
243,-0.07763672
244,-0.020874023
245,-0.28710938
246,-0.47851562
247,0.09423828
248,-0.109375
249,-0.28710938
250,-0.26171875
251,0.49414062
252,0.33398438
253,-0.0052490234
254,0.13671875
255,-0.029663086
256,0.057861328
257,-0.14746094
258,-0.06542969
259,0.063964844
260,0.28125
261,0.41015625
262,-0.11816406
263,0.265625
264,-0.33007812
265,-0.18945312
266,-0.265625
267,0.09423828
268,0.14648438
269,-0.09375
270,-0.23339844
271,0.17382812
272,0.043701172
273,0.23046875
274,0.037597656
275,0.20214844
276,0.1484375
277,-0.20117188
278,0.068359375
279,0.20800781
280,-0.37109375
281,-0.15917969
282,0.2578125
283,0.002670288
284,0.09814453
285,0.22949219
286,0.40234375
287,-0.026977539
288,-0.12597656
289,0.25195312
290,0.21289062
291,0.03149414
292,-0.18554688
293,-0.028808594
294,-0.15039062
295,0.13085938
296,-0.10986328
297,-0.17773438
298,0.265625
299,0.26367188
