,United_Nations
0,0.03100586
1,0.06640625
2,0.29882812
3,0.115722656
4,-0.25195312
5,-0.22363281
6,0.067871094
7,-0.30859375
8,0.1640625
9,-0.080078125
10,0.0061035156
11,0.171875
12,0.1953125
13,0.0138549805
14,-0.020874023
15,-0.06225586
16,-0.33984375
17,-0.15332031
18,0.024902344
19,-0.11669922
20,-0.27148438
21,0.296875
22,0.38085938
23,0.17285156
24,0.22949219
25,-0.10205078
26,0.15429688
27,-0.079589844
28,0.25
29,-0.071777344
30,-0.234375
31,-0.06591797
32,-0.103515625
33,0.12060547
34,0.03100586
35,-0.0234375
36,0.22460938
37,0.26757812
38,-0.2265625
39,0.0012512207
40,0.12402344
41,0.099609375
42,0.19824219
43,0.5078125
44,0.25
45,0.234375
46,-0.16699219
47,0.13574219
48,-0.15722656
49,0.29296875
50,0.083496094
51,-0.19433594
52,-0.08691406
53,0.032958984
54,-0.20507812
55,-0.14453125
56,-0.22558594
57,-0.08251953
58,-0.31445312
59,-0.27148438
60,-0.06738281
61,0.12011719
62,0.20410156
63,0.04272461
64,0.19140625
65,0.055664062
66,-0.023071289
67,0.17773438
68,0.041748047
69,-0.27539062
70,-0.010864258
71,0.38476562
72,0.36132812
73,0.18457031
74,-0.15625
75,-0.18652344
76,0.100097656
77,0.122558594
78,0.22558594
79,0.21777344
80,-0.22167969
81,0.056396484
82,0.115722656
83,0.09326172
84,0.025512695
85,0.091308594
86,0.2890625
87,-0.2890625
88,0.030639648
89,0.25
90,0.01550293
91,0.061767578
92,-0.36523438
93,-0.24804688
94,0.122558594
95,-0.13769531
96,0.31835938
97,-0.06591797
98,0.171875
99,-0.036132812
100,-0.03857422
101,0.041503906
102,0.04711914
103,-0.140625
104,0.06225586
105,0.09667969
106,-0.23535156
107,-0.25195312
108,-0.026000977
109,0.0015411377
110,-0.050048828
111,0.0546875
112,-0.23925781
113,0.375
114,0.092285156
115,-0.056640625
116,0.068847656
117,0.032958984
118,0.22070312
119,0.28125
120,-0.050048828
121,-0.045898438
122,-0.39257812
123,0.033691406
124,-0.025268555
125,0.27148438
126,0.087890625
127,0.041503906
128,-0.24121094
129,0.11035156
130,0.28125
131,0.18457031
132,-0.10253906
133,-0.09667969
134,-0.3359375
135,-0.064453125
136,-0.118652344
137,-0.36132812
138,0.025512695
139,-0.021362305
140,0.09423828
141,0.063964844
142,0.18652344
143,-0.1484375
144,0.24609375
145,-0.07128906
146,0.12402344
147,0.17285156
148,-0.15332031
149,0.17089844
150,0.40820312
151,-0.26953125
152,-0.19140625
153,0.08203125
154,0.41601562
155,-0.05908203
156,0.12890625
157,0.09472656
158,0.12695312
159,-0.033447266
160,-0.20703125
161,0.14941406
162,0.13183594
163,-0.10253906
164,-0.15625
165,-0.31054688
166,0.06689453
167,0.10498047
168,0.14160156
169,-0.037841797
170,-0.04638672
171,0.17480469
172,0.032714844
173,-0.02758789
174,-0.08984375
175,-0.018554688
176,-0.057128906
177,0.0057678223
178,-0.029541016
179,0.016967773
180,-0.05908203
181,0.0036315918
182,0.23339844
183,-0.18261719
184,-0.084472656
185,0.140625
186,-0.03881836
187,-0.10839844
188,-0.052978516
189,0.140625
190,-0.12792969
191,0.099121094
192,0.061523438
193,-0.11279297
194,-0.17773438
195,0.14453125
196,0.41796875
197,-0.20507812
198,0.14160156
199,-0.31835938
200,0.27539062
201,0.0009460449
202,-0.17578125
203,0.083496094
204,0.072265625
205,-0.0057678223
206,-0.036376953
207,-0.13378906
208,-0.16699219
209,-0.048339844
210,-0.20800781
211,-0.26367188
212,-0.07373047
213,0.08154297
214,-0.10058594
215,0.26953125
216,-0.43164062
217,0.26757812
218,-0.033935547
219,-0.19238281
220,-0.07128906
221,0.063964844
222,0.265625
223,0.123535156
224,0.20117188
225,-0.10253906
226,0.27539062
227,0.19335938
228,0.453125
229,-0.11376953
230,-0.10058594
231,0.15234375
232,0.039794922
233,-0.07714844
234,0.12060547
235,-0.111816406
236,-0.10253906
237,0.107910156
238,0.004119873
239,-0.28710938
240,0.18164062
241,-0.20214844
242,0.010253906
243,0.052490234
244,-0.011352539
245,0.028686523
246,-0.009033203
247,-0.31640625
248,0.08496094
249,-0.044189453
250,-0.115234375
251,-0.15136719
252,-0.14355469
253,0.014526367
254,0.27148438
255,-0.21191406
256,0.10888672
257,-0.37304688
258,0.26171875
259,0.015991211
260,0.024536133
261,0.08203125
262,0.18261719
263,0.05883789
264,0.23925781
265,0.114746094
266,-0.21875
267,-0.16699219
268,-0.22460938
269,-0.15820312
270,-0.18945312
271,0.23828125
272,0.043701172
273,-0.08935547
274,0.051513672
275,0.078125
276,-0.049316406
277,0.020263672
278,-0.018676758
279,-0.0048828125
280,-0.21191406
281,-0.11425781
282,-0.10546875
283,0.10253906
284,0.09375
285,0.092285156
286,-0.07373047
287,0.13183594
288,0.31445312
289,0.18652344
290,0.059814453
291,0.0012359619
292,0.06347656
293,0.21484375
294,-0.009155273
295,0.15234375
296,-0.24023438
297,0.11621094
298,-0.103515625
299,-0.0625
