,Uzbekistan
0,-0.07421875
1,-0.08251953
2,0.29492188
3,0.08544922
4,-0.2109375
5,0.11279297
6,-0.078125
7,-0.013122559
8,-0.22949219
9,0.20410156
10,0.061767578
11,0.018310547
12,0.19726562
13,0.11035156
14,-0.048095703
15,-0.23632812
16,-0.32617188
17,0.02709961
18,0.053222656
19,-0.002166748
20,0.1328125
21,-0.28320312
22,-0.045654297
23,-0.060302734
24,0.1875
25,-0.08886719
26,-0.15820312
27,-0.16699219
28,-0.21582031
29,0.061523438
30,-0.3359375
31,-0.19824219
32,-0.14746094
33,-0.17382812
34,-0.13769531
35,0.20019531
36,-0.16113281
37,0.05810547
38,0.14746094
39,-0.16699219
40,-0.0043945312
41,0.15136719
42,0.17871094
43,0.23046875
44,0.27539062
45,-0.030395508
46,0.14453125
47,-0.053222656
48,0.032226562
49,0.06298828
50,0.030883789
51,-0.09716797
52,-0.08984375
53,0.12207031
54,-0.06689453
55,0.020751953
56,-0.30859375
57,0.25
58,-0.29882812
59,-0.1875
60,0.01965332
61,-0.19042969
62,0.19726562
63,-0.04345703
64,0.023071289
65,-0.22558594
66,0.43359375
67,-0.30078125
68,0.18554688
69,0.20605469
70,-0.22753906
71,-0.07080078
72,0.0115356445
73,-0.15332031
74,-0.42382812
75,-0.55078125
76,0.13574219
77,-0.039794922
78,0.041992188
79,0.30273438
80,-0.24023438
81,-0.2578125
82,0.09814453
83,0.24511719
84,-0.15039062
85,-0.43164062
86,0.034423828
87,-0.04345703
88,-0.16210938
89,0.359375
90,0.31640625
91,-0.12695312
92,-0.3984375
93,-0.016845703
94,0.012451172
95,-0.35742188
96,-0.25976562
97,0.15332031
98,-0.076660156
99,-0.09326172
100,-0.15234375
101,0.25195312
102,-0.1953125
103,0.20996094
104,-0.10546875
105,0.092285156
106,0.19824219
107,-0.032470703
108,-0.18554688
109,0.095214844
110,0.22460938
111,-0.04321289
112,-0.17382812
113,-0.40039062
114,-0.0859375
115,0.010009766
116,0.001953125
117,0.15136719
118,0.37890625
119,0.07421875
120,-0.21386719
121,0.10498047
122,-0.16308594
123,0.21484375
124,-0.07128906
125,0.22167969
126,-0.1953125
127,0.29492188
128,-0.36914062
129,-0.025512695
130,-0.17773438
131,0.22558594
132,-0.051757812
133,-0.15039062
134,-0.072265625
135,-0.12109375
136,-0.29296875
137,0.07470703
138,-0.16699219
139,0.07910156
140,0.26757812
141,0.030273438
142,0.20410156
143,0.36328125
144,-0.015625
145,0.25
146,-0.34179688
147,0.24609375
148,-0.30078125
149,-0.017089844
150,0.55859375
151,-0.21679688
152,0.18945312
153,-0.083496094
154,0.24804688
155,-0.19042969
156,-0.26953125
157,-0.12402344
158,0.16796875
159,-0.106933594
160,-0.3125
161,0.05444336
162,0.004699707
163,-0.08691406
164,0.296875
165,-0.20800781
166,0.17089844
167,0.22851562
168,0.2265625
169,0.11669922
170,-0.30273438
171,0.36132812
172,0.018920898
173,0.22265625
174,0.24511719
175,-0.40625
176,0.23242188
177,-0.22070312
178,0.029174805
179,-0.36132812
180,-0.01965332
181,-0.14648438
182,-0.17773438
183,-0.00074386597
184,0.03955078
185,0.017578125
186,0.006134033
187,0.08496094
188,-0.02746582
189,0.38085938
190,-0.075683594
191,-0.18261719
192,-0.09716797
193,-0.016845703
194,0.029296875
195,-0.17480469
196,-0.31054688
197,-0.234375
198,-0.045410156
199,-0.071777344
200,0.16699219
201,-0.03173828
202,0.1328125
203,-0.0008773804
204,-0.0030822754
205,-0.20800781
206,-0.16796875
207,-0.040283203
208,-0.34375
209,0.07470703
210,-0.15234375
211,0.06640625
212,-0.015991211
213,-0.06542969
214,0.011474609
215,-0.0068969727
216,-0.09863281
217,0.40234375
218,0.095703125
219,-0.2421875
220,-0.15722656
221,-0.028930664
222,0.032470703
223,-0.021240234
224,0.075683594
225,-0.051513672
226,0.13476562
227,0.11669922
228,0.43945312
229,-0.47265625
230,-0.110839844
231,0.053466797
232,0.33984375
233,-0.057617188
234,0.09277344
235,0.40820312
236,-0.14453125
237,0.10644531
238,0.14941406
239,-0.111328125
240,0.045410156
241,-0.04272461
242,-0.19335938
243,-0.052978516
244,0.07128906
245,0.15429688
246,-0.048583984
247,-0.14257812
248,-0.15039062
249,-0.20800781
250,0.10449219
251,0.17871094
252,0.15625
253,0.022460938
254,-0.06347656
255,0.4140625
256,0.05078125
257,0.109375
258,0.13867188
259,0.019165039
260,0.10839844
261,0.1328125
262,0.20019531
263,0.12011719
264,0.47851562
265,-0.13476562
266,-0.24316406
267,-0.25195312
268,0.059570312
269,0.11279297
270,0.10595703
271,0.20214844
272,0.011291504
273,-0.24902344
274,0.025512695
275,0.33789062
276,0.06298828
277,-0.02734375
278,-0.11279297
279,0.21289062
280,0.099609375
281,0.041992188
282,-0.14550781
283,-0.045410156
284,-0.21582031
285,-0.19042969
286,-0.08300781
287,0.24023438
288,0.10986328
289,0.33984375
290,-0.04711914
291,0.125
292,0.025024414
293,-0.06689453
294,0.19824219
295,-0.076171875
296,-0.18359375
297,0.1953125
298,0.10058594
299,0.41796875
