,Vanuatu
0,0.002822876
1,-0.41796875
2,-0.13085938
3,-0.15429688
4,-0.14941406
5,-0.22460938
6,-0.18261719
7,-0.21875
8,0.07519531
9,0.15136719
10,0.23925781
11,-0.16015625
12,0.091308594
13,-0.046875
14,0.033935547
15,0.25
16,-0.21191406
17,0.31054688
18,-0.18945312
19,0.3046875
20,0.38867188
21,-0.35351562
22,0.03857422
23,-0.11621094
24,0.2890625
25,-0.08154297
26,0.07470703
27,-0.051757812
28,-0.06347656
29,0.07714844
30,0.119140625
31,-0.3203125
32,-0.26757812
33,-0.21875
34,0.24414062
35,-0.16503906
36,-0.20898438
37,-0.03857422
38,-0.055419922
39,-0.05053711
40,-0.37109375
41,0.23535156
42,0.048828125
43,0.20507812
44,-0.00033950806
45,-0.034423828
46,-0.40820312
47,-0.24707031
48,0.12988281
49,-0.140625
50,-0.053710938
51,-0.36132812
52,0.09277344
53,-0.28710938
54,-0.34179688
55,0.013122559
56,-0.51171875
57,-0.30273438
58,-0.06982422
59,-0.16503906
60,-0.15625
61,-0.06689453
62,-0.040283203
63,0.16308594
64,0.15039062
65,0.030395508
66,0.079589844
67,-0.38085938
68,0.10888672
69,-0.14550781
70,-0.23339844
71,-0.05493164
72,-0.18945312
73,-0.12695312
74,-0.17285156
75,-0.40039062
76,0.22363281
77,0.060546875
78,0.16503906
79,0.265625
80,-0.296875
81,-0.203125
82,-0.1875
83,-0.18359375
84,-0.17773438
85,-0.30273438
86,-0.29296875
87,-0.14941406
88,0.0062561035
89,0.1484375
90,0.265625
91,0.007019043
92,-0.33789062
93,0.057861328
94,-0.22070312
95,0.099121094
96,0.40039062
97,-0.41601562
98,0.103027344
99,-0.08154297
100,0.052490234
101,0.40039062
102,0.30273438
103,-0.030151367
104,0.09765625
105,0.1484375
106,0.15332031
107,-0.13378906
108,0.27929688
109,0.40039062
110,-0.15136719
111,0.36914062
112,-0.01953125
113,0.045166016
114,-0.18066406
115,0.04321289
116,-0.140625
117,-0.13671875
118,-0.044433594
119,-0.04321289
120,-0.13378906
121,0.16601562
122,-0.04248047
123,0.265625
124,0.10205078
125,0.44140625
126,-0.15332031
127,0.21972656
128,-0.29882812
129,0.2734375
130,-0.15820312
131,0.13867188
132,-0.13867188
133,-0.17382812
134,-0.28320312
135,-0.009521484
136,-0.296875
137,0.11279297
138,-0.05126953
139,0.20507812
140,0.030517578
141,-0.35351562
142,0.38085938
143,-0.09277344
144,0.23925781
145,0.10888672
146,-0.011230469
147,-0.25
148,0.013977051
149,0.35742188
150,0.25585938
151,-0.09716797
152,-0.06933594
153,0.22265625
154,0.049804688
155,-0.27148438
156,-0.071777344
157,-0.2109375
158,0.15917969
159,-0.0073547363
160,-0.28515625
161,0.05419922
162,-0.1328125
163,0.06640625
164,0.091796875
165,-0.46484375
166,0.17871094
167,0.25390625
168,0.017456055
169,0.13183594
170,0.20605469
171,0.26171875
172,0.1640625
173,0.044921875
174,-0.061035156
175,-0.12792969
176,0.25
177,-0.115722656
178,0.22460938
179,0.18847656
180,0.18261719
181,-0.20019531
182,-0.22363281
183,-0.103027344
184,-0.17285156
185,0.002532959
186,-0.16796875
187,-0.17480469
188,0.21777344
189,-0.16308594
190,0.060546875
191,-0.296875
192,-0.19042969
193,-0.010620117
194,0.14746094
195,0.31640625
196,0.08935547
197,0.03491211
198,-0.027954102
199,-0.48632812
200,0.2265625
201,-0.25390625
202,0.078125
203,-0.15625
204,0.12158203
205,0.07421875
206,-0.104003906
207,-0.296875
208,-0.16894531
209,-0.18457031
210,-0.05517578
211,-0.033203125
212,-0.0036010742
213,-0.022827148
214,0.055419922
215,-0.12695312
216,0.15429688
217,-0.0546875
218,0.067871094
219,-0.111816406
220,0.21484375
221,-0.0020141602
222,-0.18261719
223,0.12158203
224,-0.045898438
225,0.17480469
226,0.36523438
227,0.31445312
228,0.33203125
229,0.083984375
230,-0.0703125
231,-0.044677734
232,0.01928711
233,-0.087402344
234,-0.057617188
235,0.4375
236,0.010559082
237,0.049804688
238,0.018920898
239,0.16210938
240,0.092285156
241,-0.09716797
242,0.24121094
243,0.03881836
244,0.07128906
245,-0.018188477
246,-0.453125
247,0.01159668
248,0.27148438
249,-0.25585938
250,-0.13769531
251,0.33789062
252,0.33007812
253,-0.019897461
254,0.015014648
255,0.16699219
256,0.31445312
257,-0.13085938
258,0.15039062
259,-0.056152344
260,0.5078125
261,0.041259766
262,-0.008300781
263,0.053710938
264,-0.12451172
265,-0.29882812
266,-0.30664062
267,-0.017944336
268,0.016967773
269,-0.19433594
270,-0.31054688
271,0.06982422
272,-0.032470703
273,0.1484375
274,-0.1640625
275,0.11621094
276,-0.12109375
277,-0.20214844
278,0.16601562
279,0.32617188
280,-0.17285156
281,-0.040527344
282,0.15527344
283,-0.068847656
284,0.20214844
285,0.20996094
286,0.028808594
287,0.013549805
288,-0.06298828
289,0.31835938
290,-0.08984375
291,0.19335938
292,0.03515625
293,0.0039367676
294,-0.07763672
295,0.2578125
296,-0.23535156
297,-0.16796875
298,-0.068359375
299,0.14746094
