,Western_Sahara
0,-0.13476562
1,-0.16308594
2,0.12158203
3,0.203125
4,0.008850098
5,-0.453125
6,0.29492188
7,-0.30664062
8,-0.265625
9,0.296875
10,-0.12890625
11,0.203125
12,-0.24023438
13,-0.02746582
14,0.09277344
15,0.032470703
16,-0.0234375
17,0.21777344
18,0.203125
19,0.34765625
20,0.28320312
21,-0.018432617
22,0.15625
23,0.5546875
24,-0.16601562
25,0.13085938
26,-0.044677734
27,0.046142578
28,0.36914062
29,-0.119628906
30,0.10595703
31,0.140625
32,-0.55859375
33,-0.005218506
34,-0.23925781
35,0.14160156
36,-0.036132812
37,0.09814453
38,-0.038085938
39,-0.27734375
40,0.08496094
41,0.5078125
42,0.3359375
43,0.4921875
44,-0.10644531
45,0.359375
46,-0.37890625
47,0.13574219
48,-0.038330078
49,0.16601562
50,0.18945312
51,-0.25976562
52,-0.24609375
53,-0.10058594
54,-0.58203125
55,0.07373047
56,-0.15136719
57,-0.11621094
58,-0.27929688
59,-0.37304688
60,0.123535156
61,0.18457031
62,0.171875
63,-0.12890625
64,-0.25976562
65,-0.119140625
66,-0.17773438
67,-0.22265625
68,-0.056396484
69,-0.36328125
70,-0.24316406
71,0.08691406
72,0.045654297
73,0.11767578
74,-0.15136719
75,-0.4609375
76,0.17480469
77,-0.30273438
78,-0.15136719
79,0.2265625
80,0.083496094
81,0.03149414
82,-0.16601562
83,0.028198242
84,0.020507812
85,-0.104003906
86,-0.023925781
87,0.039794922
88,0.103027344
89,-0.087890625
90,0.16796875
91,-0.31054688
92,-0.46679688
93,0.09667969
94,0.032470703
95,-0.20410156
96,0.24902344
97,-0.020141602
98,0.42382812
99,-0.04711914
100,-0.04711914
101,0.033203125
102,0.064453125
103,-0.38085938
104,0.0034942627
105,-0.067871094
106,-0.32421875
107,-0.19335938
108,-0.40820312
109,-0.023071289
110,-0.05883789
111,-0.16210938
112,0.16503906
113,-0.12158203
114,-0.23535156
115,-0.23242188
116,0.09033203
117,0.484375
118,0.095214844
119,0.020751953
120,-0.13476562
121,0.10058594
122,-0.56640625
123,-0.06347656
124,0.390625
125,-0.025878906
126,-0.22753906
127,0.036865234
128,-0.79296875
129,-0.12695312
130,0.22070312
131,0.0018005371
132,-0.34960938
133,0.65625
134,-0.055419922
135,-0.11621094
136,-0.328125
137,-0.09765625
138,0.21679688
139,0.16699219
140,-0.080078125
141,-0.05444336
142,0.064453125
143,0.04248047
144,0.22070312
145,-0.14160156
146,-0.12109375
147,0.39648438
148,0.140625
149,-0.008178711
150,0.14550781
151,0.12792969
152,-0.35351562
153,-0.10205078
154,0.42382812
155,-0.09863281
156,0.5
157,0.18359375
158,0.24707031
159,-0.007598877
160,-0.60546875
161,0.34765625
162,0.26367188
163,-0.18847656
164,-0.004760742
165,-0.123046875
166,-0.18066406
167,0.23730469
168,-0.14746094
169,0.119140625
170,0.26367188
171,0.59765625
172,-0.055419922
173,0.17675781
174,-0.27929688
175,0.091796875
176,-0.01586914
177,-0.25976562
178,-0.079589844
179,-0.42773438
180,-0.625
181,0.09033203
182,-0.19238281
183,0.26171875
184,-0.06591797
185,0.15429688
186,-0.055419922
187,0.42382812
188,0.29492188
189,-0.13769531
190,-0.37890625
191,0.0053710938
192,-0.28125
193,-0.22851562
194,0.0390625
195,0.4921875
196,-0.08105469
197,-0.24121094
198,0.29882812
199,0.0030822754
200,0.057617188
201,-0.14257812
202,-0.22460938
203,0.03881836
204,0.1328125
205,-0.123046875
206,0.013000488
207,0.10058594
208,0.07470703
209,0.0390625
210,0.06982422
211,-0.15039062
212,-0.28320312
213,0.3203125
214,0.19824219
215,-0.24414062
216,-0.15917969
217,0.092285156
218,0.20898438
219,-0.5390625
220,-0.17089844
221,0.03881836
222,0.14550781
223,0.20703125
224,-0.05029297
225,0.068359375
226,0.18945312
227,0.25585938
228,0.64453125
229,-0.14257812
230,0.25195312
231,-0.09814453
232,-0.08105469
233,0.031982422
234,0.08105469
235,-0.08886719
236,0.078125
237,0.30859375
238,0.018310547
239,-0.140625
240,0.4453125
241,-0.5234375
242,0.171875
243,0.16113281
244,0.27734375
245,0.21289062
246,-0.25195312
247,0.0038604736
248,0.008850098
249,-0.045410156
250,-0.18066406
251,-0.171875
252,-0.24511719
253,0.43945312
254,0.55859375
255,-0.09765625
256,-0.004058838
257,-0.20800781
258,0.015319824
259,0.18554688
260,0.06982422
261,0.08154297
262,0.103027344
263,0.16015625
264,-0.017211914
265,0.00680542
266,-0.16699219
267,-0.15234375
268,-0.265625
269,-0.27929688
270,-0.24609375
271,0.46484375
272,0.19042969
273,0.23144531
274,-0.22851562
275,0.34375
276,-0.13769531
277,-0.11621094
278,-0.62890625
279,-0.41210938
280,0.038330078
281,-0.17871094
282,-0.064453125
283,-0.0703125
284,0.34179688
285,-0.49414062
286,-0.37695312
287,0.484375
288,0.03515625
289,0.21679688
290,-0.08300781
291,0.10449219
292,0.16894531
293,-0.10888672
294,-0.087890625
295,0.24121094
296,-0.50390625
297,0.036865234
298,0.36132812
299,0.23339844
