,Yemen
0,0.13867188
1,0.037353516
2,-0.36523438
3,0.28515625
4,0.024291992
5,0.07080078
6,-0.38671875
7,-0.18261719
8,-0.23828125
9,0.19824219
10,0.0030670166
11,-0.24121094
12,0.10498047
13,-0.12988281
14,0.18066406
15,-0.12792969
16,-0.375
17,0.010131836
18,0.020874023
19,0.16113281
20,0.10888672
21,-0.22753906
22,0.17675781
23,-0.011047363
24,0.13476562
25,0.0390625
26,0.27929688
27,0.00046920776
28,-0.008972168
29,-0.31445312
30,-0.10253906
31,-0.140625
32,-0.265625
33,0.119140625
34,-0.5234375
35,0.20898438
36,-0.24902344
37,0.078125
38,-0.15234375
39,0.16796875
40,0.07763672
41,0.33398438
42,-0.26171875
43,0.032714844
44,-0.022827148
45,0.100097656
46,-0.18652344
47,0.040527344
48,-0.023925781
49,-0.25585938
50,-0.056152344
51,-0.28125
52,-0.11035156
53,-0.030151367
54,-0.14648438
55,0.15527344
56,-0.14648438
57,0.29296875
58,-0.15722656
59,-0.6015625
60,-0.13476562
61,-0.09033203
62,0.05444336
63,0.14257812
64,0.061523438
65,-0.28320312
66,0.05908203
67,-0.3125
68,0.03955078
69,0.026000977
70,-0.51171875
71,0.030517578
72,-0.037353516
73,0.111816406
74,0.10546875
75,-0.50390625
76,-0.06933594
77,0.14453125
78,0.25390625
79,0.14453125
80,-0.15917969
81,-0.29492188
82,-0.059814453
83,0.03857422
84,0.10107422
85,-0.33789062
86,-0.140625
87,0.0546875
88,0.005279541
89,0.34179688
90,0.203125
91,0.017700195
92,-0.5546875
93,-0.171875
94,0.18066406
95,-0.103027344
96,0.10888672
97,-0.122558594
98,-0.037109375
99,0.18652344
100,-0.22851562
101,0.0859375
102,-0.041015625
103,0.11621094
104,0.0126953125
105,0.080078125
106,0.07470703
107,0.06347656
108,0.072265625
109,0.21972656
110,0.033447266
111,-0.033691406
112,-0.041015625
113,-0.11669922
114,0.01574707
115,-0.059326172
116,0.15722656
117,0.23339844
118,0.52734375
119,0.123046875
120,-0.38476562
121,-0.0034332275
122,-0.15332031
123,0.096191406
124,-0.032714844
125,-0.07421875
126,-0.34765625
127,-0.10986328
128,-0.44140625
129,0.09863281
130,0.203125
131,0.119628906
132,0.037109375
133,-0.11621094
134,0.19140625
135,-0.24414062
136,-0.28125
137,-0.31640625
138,0.11376953
139,0.296875
140,0.009399414
141,0.115234375
142,0.021850586
143,0.13769531
144,0.19433594
145,0.012634277
146,0.10595703
147,0.39257812
148,0.40039062
149,-0.031982422
150,0.20703125
151,0.10595703
152,-0.104003906
153,-0.1875
154,0.17773438
155,-0.49023438
156,-0.18847656
157,0.0053100586
158,0.0703125
159,0.15917969
160,-0.21777344
161,0.103515625
162,0.009094238
163,0.104003906
164,0.0859375
165,-0.33203125
166,0.14355469
167,0.12988281
168,0.38671875
169,0.57421875
170,-0.10839844
171,0.34570312
172,-0.40820312
173,-0.11035156
174,0.057617188
175,-0.18164062
176,0.265625
177,-0.21777344
178,0.037841797
179,-0.34375
180,-0.20019531
181,-0.22070312
182,-0.3203125
183,-0.12890625
184,0.03125
185,0.0076293945
186,0.0859375
187,-0.20703125
188,0.07910156
189,0.265625
190,-0.060791016
191,-0.07763672
192,-0.14453125
193,0.03955078
194,-0.22363281
195,0.3828125
196,-0.17675781
197,-0.3125
198,0.20996094
199,-0.2265625
200,-0.23144531
201,-0.36523438
202,0.035888672
203,-0.13085938
204,0.015625
205,-0.10107422
206,0.03930664
207,0.11035156
208,-0.02734375
209,-0.12695312
210,-0.11230469
211,0.05053711
212,-0.119140625
213,0.14257812
214,0.002166748
215,-0.052490234
216,0.06201172
217,0.103515625
218,0.053466797
219,-0.13085938
220,-0.27929688
221,0.018188477
222,0.2421875
223,0.064453125
224,0.091796875
225,-0.26171875
226,0.06542969
227,0.08105469
228,0.37304688
229,-0.42578125
230,0.06689453
231,0.032470703
232,0.055908203
233,-0.041992188
234,-0.007751465
235,0.33398438
236,0.2265625
237,-0.0087890625
238,0.34179688
239,-0.0234375
240,0.28320312
241,0.10107422
242,-0.25976562
243,0.115722656
244,0.1328125
245,-0.08544922
246,-0.3671875
247,-0.37304688
248,-0.14648438
249,-0.21386719
250,-0.024780273
251,-0.056396484
252,0.13964844
253,0.18945312
254,0.5546875
255,0.008117676
256,0.010803223
257,-0.059570312
258,0.0146484375
259,0.16503906
260,-0.013549805
261,0.40429688
262,-0.20410156
263,0.100097656
264,-0.03955078
265,0.14453125
266,-0.50390625
267,-0.4765625
268,-0.13378906
269,0.100097656
270,0.06640625
271,0.41210938
272,0.106933594
273,-0.09375
274,0.048583984
275,0.08544922
276,-0.06738281
277,-0.37890625
278,-0.09375
279,-0.21289062
280,-0.10888672
281,-0.16601562
282,-0.024414062
283,-0.14453125
284,0.08154297
285,-0.41796875
286,-0.15039062
287,-0.13378906
288,0.033935547
289,-0.017578125
290,0.14746094
291,-0.035888672
292,0.0859375
293,-0.16992188
294,-0.053222656
295,0.34375
296,-0.10644531
297,-0.17675781
298,0.16503906
299,0.06347656
