,math
0,0.26757812
1,0.013793945
2,0.16894531
3,0.19921875
4,0.06982422
5,0.14550781
6,0.26367188
7,-0.07470703
8,-0.16992188
9,-0.18457031
10,0.38085938
11,0.20214844
12,-0.103515625
13,-0.024414062
14,0.037353516
15,0.028076172
16,-0.16894531
17,-0.07373047
18,0.115234375
19,-0.059814453
20,0.07861328
21,0.10107422
22,-0.017944336
23,-0.0061035156
24,-0.08935547
25,-0.20214844
26,-0.20703125
27,-0.22558594
28,-0.19921875
29,0.14453125
30,-0.32617188
31,0.04248047
32,-0.03857422
33,-0.012878418
34,-0.08544922
35,-0.059326172
36,0.17382812
37,0.3828125
38,0.25390625
39,0.34960938
40,-0.029296875
41,-0.016479492
42,0.14453125
43,0.06738281
44,-0.042236328
45,0.27929688
46,0.019897461
47,0.06738281
48,-0.18164062
49,0.4140625
50,-0.38867188
51,0.029663086
52,-0.11669922
53,-0.064453125
54,0.17382812
55,0.119140625
56,0.18554688
57,-0.2265625
58,-0.15136719
59,-0.22558594
60,0.060791016
61,0.19628906
62,0.06640625
63,-0.13769531
64,0.22265625
65,-0.023071289
66,-0.23730469
67,0.09472656
68,0.006591797
69,0.06738281
70,0.11230469
71,-0.32226562
72,0.059326172
73,-0.08886719
74,-0.21679688
75,0.25
76,0.27734375
77,0.37695312
78,0.16894531
79,-0.080078125
80,-0.075683594
81,0.14355469
82,-0.16308594
83,0.16308594
84,0.11035156
85,0.010864258
86,0.25195312
87,0.58203125
88,-0.018432617
89,-0.28125
90,0.08886719
91,-0.37109375
92,-0.28320312
93,-0.037841797
94,-0.040039062
95,-0.022094727
96,0.24121094
97,-0.010131836
98,-0.13085938
99,0.11279297
100,-0.012329102
101,-0.20214844
102,-0.16015625
103,-0.18847656
104,-0.09375
105,-0.19042969
106,-0.01550293
107,-0.07861328
108,0.36328125
109,0.006713867
110,0.11279297
111,0.00982666
112,0.06738281
113,0.2265625
114,0.20019531
115,0.26367188
116,0.111328125
117,-0.025390625
118,0.045166016
119,-0.100097656
120,-0.009277344
121,0.21191406
122,-0.07324219
123,0.028686523
124,0.15136719
125,-0.0079956055
126,-0.20410156
127,-0.013916016
128,-0.16699219
129,0.25390625
130,-0.083496094
131,-0.41601562
132,-0.044433594
133,-0.26171875
134,0.13574219
135,0.265625
136,0.23144531
137,0.0107421875
138,-0.14941406
139,0.16601562
140,-0.18359375
141,-0.32421875
142,-0.3515625
143,-0.18847656
144,-0.296875
145,0.14453125
146,-0.012451172
147,-0.13671875
148,-0.056884766
149,0.053710938
150,0.20800781
151,0.052001953
152,-0.17773438
153,-0.014831543
154,-0.37695312
155,-0.21679688
156,-0.0390625
157,-0.15625
158,-0.23632812
159,0.125
160,-0.19335938
161,-0.014587402
162,0.05810547
163,0.16015625
164,0.13671875
165,0.11035156
166,0.45117188
167,-0.3125
168,0.15917969
169,0.08935547
170,-0.0059509277
171,0.2109375
172,-0.18457031
173,-0.12988281
174,0.18847656
175,0.22265625
176,-0.18652344
177,-0.056396484
178,0.06542969
179,-0.10595703
180,-0.11279297
181,-0.21777344
182,-0.00579834
183,0.12695312
184,0.484375
185,0.18066406
186,0.10595703
187,-0.008666992
188,0.296875
189,0.06738281
190,-0.037597656
191,-0.23925781
192,-0.13964844
193,-0.07373047
194,-0.114746094
195,0.20898438
196,0.47851562
197,-0.14941406
198,-0.06347656
199,-0.0859375
200,-0.3671875
201,0.038330078
202,0.20117188
203,-0.16992188
204,-0.3046875
205,-0.3671875
206,-0.10498047
207,-0.25585938
208,-0.28710938
209,0.07080078
210,-0.13378906
211,0.10498047
212,0.07128906
213,-0.0546875
214,-0.20019531
215,0.23925781
216,0.24414062
217,0.16601562
218,-0.087890625
219,-0.09033203
220,-0.1875
221,0.009277344
222,0.24414062
223,-0.09863281
224,-0.020996094
225,0.095214844
226,0.11279297
227,-0.01373291
228,-0.09033203
229,0.16113281
230,0.11230469
231,0.107421875
232,-0.060058594
233,0.10253906
234,0.10205078
235,0.14746094
236,0.20800781
237,-0.23632812
238,0.35351562
239,0.055664062
240,0.037353516
241,0.26757812
242,-0.0006637573
243,-0.0703125
244,-0.21191406
245,-0.21582031
246,0.140625
247,0.103027344
248,-0.44140625
249,-0.1328125
250,-0.2734375
251,-0.091796875
252,-0.020385742
253,0.30273438
254,0.033691406
255,-0.22851562
256,-0.16894531
257,0.046142578
258,-0.033447266
259,0.37695312
260,0.19628906
261,0.19433594
262,-0.088378906
263,-0.016967773
264,-0.104003906
265,0.1484375
266,0.2578125
267,-0.03112793
268,-0.13183594
269,-0.0703125
270,0.061279297
271,0.122558594
272,-0.28515625
273,-0.020019531
274,-0.29492188
275,-0.004425049
276,0.064941406
277,-0.328125
278,-0.24902344
279,-0.3203125
280,0.1015625
281,0.17578125
282,-0.17089844
283,0.20800781
284,-0.24902344
285,-0.2421875
286,0.051513672
287,0.11230469
288,0.14355469
289,0.47460938
290,-0.0154418945
291,0.13085938
292,-0.08251953
293,-0.24121094
294,0.107421875
295,-0.08154297
296,0.11425781
297,0.023803711
298,0.22558594
299,-0.064453125
