,中国
0,0.041259766
1,-0.15722656
2,-0.014526367
3,-0.049316406
4,-0.07763672
5,-0.09423828
6,0.25
7,-0.016967773
8,-0.009094238
9,0.095703125
10,-0.15527344
11,0.17285156
12,-0.34375
13,0.080566406
14,-0.35351562
15,0.099609375
16,-0.1875
17,0.22167969
18,-0.21875
19,0.024536133
20,0.15039062
21,-0.2734375
22,0.29492188
23,0.096191406
24,-0.122558594
25,0.06347656
26,0.21777344
27,0.017822266
28,-0.21582031
29,0.17675781
30,-0.10449219
31,0.03881836
32,-0.088378906
33,-0.119628906
34,-0.049072266
35,-0.025390625
36,0.048583984
37,0.31640625
38,0.22070312
39,0.111328125
40,-0.005859375
41,-0.10888672
42,0.031982422
43,0.104003906
44,-0.12890625
45,-0.18164062
46,-0.32617188
47,0.036865234
48,-0.12792969
49,0.041748047
50,-0.27148438
51,0.3046875
52,0.053955078
53,0.12597656
54,-0.15625
55,0.47851562
56,-0.3984375
57,-0.29882812
58,0.38085938
59,-0.10986328
60,-0.049804688
61,0.26171875
62,0.05493164
63,0.20898438
64,-0.08251953
65,0.072265625
66,0.13671875
67,-0.14257812
68,0.44726562
69,0.37304688
70,-0.07910156
71,0.024536133
72,0.076660156
73,0.045654297
74,-0.11328125
75,-0.28320312
76,0.09814453
77,0.0012283325
78,-0.015136719
79,0.040527344
80,0.2109375
81,-0.087890625
82,0.044433594
83,0.14648438
84,-0.10644531
85,0.25
86,0.107421875
87,0.10449219
88,0.064453125
89,0.01171875
90,-0.13867188
91,-0.17089844
92,-0.15039062
93,0.15722656
94,0.25390625
95,0.03491211
96,-0.02368164
97,-0.037841797
98,-0.026000977
99,0.009277344
100,0.09814453
101,0.27148438
102,0.020263672
103,-0.10986328
104,-0.12792969
105,0.375
106,-0.053466797
107,0.118652344
108,0.22265625
109,0.23144531
110,0.0062561035
111,-0.2265625
112,0.10986328
113,-0.27148438
114,0.048095703
115,0.037109375
116,-0.13574219
117,0.026733398
118,0.18554688
119,-0.203125
120,0.15917969
121,0.14746094
122,-0.3828125
123,0.20703125
124,0.16992188
125,0.087890625
126,-0.44726562
127,0.31445312
128,0.100097656
129,-0.25390625
130,-0.1875
131,0.49804688
132,0.12402344
133,0.22265625
134,-0.30273438
135,0.29296875
136,0.103515625
137,-0.25585938
138,-0.045654297
139,-0.18945312
140,0.23632812
141,-0.19433594
142,0.032470703
143,0.17480469
144,0.15820312
145,-0.19921875
146,0.16113281
147,0.19238281
148,0.014953613
149,-0.20410156
150,0.26171875
151,-0.31640625
152,0.17089844
153,-0.19335938
154,0.30859375
155,-0.14746094
156,-0.3984375
157,0.10546875
158,0.26171875
159,-0.06933594
160,-0.028198242
161,0.11035156
162,0.029418945
163,-0.09472656
164,-0.111328125
165,-0.12402344
166,0.125
167,0.09375
168,-0.31640625
169,0.24902344
170,-0.080566406
171,0.028564453
172,-0.19238281
173,-0.038085938
174,-0.0048828125
175,0.018310547
176,0.059326172
177,-0.08203125
178,0.15332031
179,-0.390625
180,-0.025390625
181,0.048583984
182,0.06347656
183,-0.13085938
184,0.13867188
185,-0.026123047
186,-0.0025024414
187,-0.22167969
188,-0.18261719
189,-0.099609375
190,-0.12597656
191,0.013549805
192,-0.43554688
193,0.064941406
194,0.023803711
195,0.072265625
196,-0.09716797
197,-0.25195312
198,0.05810547
199,-0.22167969
200,0.026733398
201,-0.033935547
202,0.17871094
203,0.099609375
204,-0.36914062
205,-0.1484375
206,0.28125
207,-0.4296875
208,-0.27148438
209,-0.042236328
210,-0.19140625
211,-0.088378906
212,0.17773438
213,0.40429688
214,0.20019531
215,0.056640625
216,0.033691406
217,0.07763672
218,0.25195312
219,0.012145996
220,-0.20019531
221,0.118652344
222,-0.34960938
223,0.25195312
224,0.111328125
225,-0.16015625
226,-0.18457031
227,-0.17675781
228,-0.18066406
229,0.020263672
230,0.06542969
231,0.17089844
232,-0.140625
233,0.0703125
234,0.063964844
235,-0.05078125
236,-0.1015625
237,-0.075683594
238,-0.020019531
239,-0.14453125
240,-0.20605469
241,-0.421875
242,0.056152344
243,0.18066406
244,0.1953125
245,-0.22460938
246,-0.34375
247,0.51171875
248,-0.29101562
249,-0.15917969
250,0.013000488
251,-0.11767578
252,0.15136719
253,0.006225586
254,0.07470703
255,0.07763672
256,-0.25585938
257,0.06347656
258,-0.040039062
259,0.028442383
260,0.18164062
261,0.140625
262,0.45703125
263,-0.30859375
264,-0.10986328
265,0.09716797
266,-0.109375
267,-0.07519531
268,0.29492188
269,0.09765625
270,-0.11279297
271,0.072753906
272,-0.0012969971
273,-0.036132812
274,-0.013793945
275,0.18164062
276,-0.34179688
277,-0.068359375
278,-0.052978516
279,0.21972656
280,-0.13085938
281,0.17285156
282,-0.024169922
283,-0.027832031
284,0.08935547
285,-0.099121094
286,0.16992188
287,0.34570312
288,-0.04736328
289,0.19238281
290,-0.00793457
291,0.025390625
292,-0.045654297
293,0.1484375
294,0.021972656
295,-0.038085938
296,-0.20996094
297,0.087890625
298,0.0032196045
299,0.2265625
