,台湾
0,-0.0058898926
1,-0.17871094
2,-0.0087890625
3,0.0052490234
4,-0.095214844
5,-0.14355469
6,0.1328125
7,0.18164062
8,-0.09326172
9,0.21875
10,-0.12792969
11,0.27929688
12,-0.14257812
13,0.15332031
14,-0.03564453
15,0.01953125
16,-0.036865234
17,0.072265625
18,0.005432129
19,-0.022338867
20,0.2421875
21,0.022216797
22,0.13964844
23,0.03173828
24,-0.095703125
25,0.04711914
26,0.13867188
27,0.017456055
28,-0.07324219
29,0.140625
30,-0.111816406
31,0.013549805
32,-0.10498047
33,0.001953125
34,0.15820312
35,-0.0012969971
36,-0.25390625
37,0.19921875
38,0.25195312
39,-0.19921875
40,-0.15917969
41,0.015380859
42,-0.05053711
43,0.099121094
44,-0.18457031
45,-0.16113281
46,-0.23730469
47,-0.068359375
48,-0.020751953
49,0.10888672
50,-0.29296875
51,0.2578125
52,0.10839844
53,0.08642578
54,-0.35351562
55,0.3203125
56,-0.3125
57,-0.43164062
58,0.2265625
59,-0.0859375
60,-0.20703125
61,0.28710938
62,-0.009521484
63,0.18359375
64,0.022827148
65,-0.006225586
66,0.099121094
67,-0.05834961
68,0.16796875
69,0.35742188
70,-0.22167969
71,0.063964844
72,0.1953125
73,-0.17578125
74,0.005218506
75,-0.08154297
76,0.107910156
77,0.084472656
78,0.12207031
79,0.044189453
80,0.048095703
81,-0.12451172
82,0.11816406
83,-0.09326172
84,-0.12988281
85,0.18261719
86,-0.032958984
87,0.06689453
88,0.053222656
89,0.003189087
90,-0.12451172
91,-0.12109375
92,-0.045898438
93,-0.00793457
94,0.055664062
95,0.099121094
96,0.008300781
97,0.09326172
98,0.06542969
99,-0.017578125
100,0.11816406
101,0.15429688
102,0.018066406
103,-0.0703125
104,-0.106933594
105,0.45507812
106,0.01928711
107,-0.0027160645
108,0.008850098
109,0.21386719
110,-0.24609375
111,-0.09667969
112,0.16113281
113,0.078125
114,0.07128906
115,-0.16308594
116,-0.06933594
117,-0.20214844
118,0.041503906
119,-0.12792969
120,0.23925781
121,0.1171875
122,-0.2578125
123,-0.0031585693
124,0.048828125
125,0.122558594
126,-0.51171875
127,0.30078125
128,-0.07861328
129,-0.1328125
130,0.012023926
131,0.359375
132,0.087890625
133,0.10546875
134,-0.23144531
135,0.14355469
136,-0.31445312
137,-0.19921875
138,-0.1640625
139,-0.16992188
140,-0.059326172
141,0.13378906
142,0.071777344
143,0.16113281
144,-0.033203125
145,-0.17871094
146,0.07470703
147,0.119140625
148,-0.014770508
149,-0.08496094
150,0.08984375
151,-0.43164062
152,0.12207031
153,0.13867188
154,0.19921875
155,-0.26757812
156,-0.051513672
157,-0.025634766
158,0.27734375
159,-0.13769531
160,-0.036132812
161,-0.08984375
162,0.16015625
163,-0.087402344
164,0.049072266
165,-0.16015625
166,0.20605469
167,0.42773438
168,-0.21191406
169,0.07373047
170,0.11230469
171,0.032714844
172,0.0036621094
173,-0.007507324
174,0.016723633
175,0.100097656
176,0.045654297
177,0.033203125
178,0.25195312
179,-0.34765625
180,-0.09863281
181,-0.024414062
182,0.048583984
183,-0.03515625
184,-0.033691406
185,-0.064941406
186,0.1875
187,-0.31835938
188,-0.26953125
189,0.025146484
190,-0.18457031
191,0.017578125
192,-0.24414062
193,0.031982422
194,-0.026855469
195,0.025878906
196,0.01965332
197,-0.044433594
198,0.14257812
199,-0.09082031
200,0.076171875
201,-0.08935547
202,0.044677734
203,0.05053711
204,-0.22949219
205,-0.11621094
206,0.15234375
207,-0.23828125
208,-0.3125
209,-0.015563965
210,-0.029418945
211,-0.21875
212,-0.021118164
213,0.35546875
214,0.080566406
215,-0.024291992
216,-0.17871094
217,0.03491211
218,0.37109375
219,0.171875
220,-0.11425781
221,0.026489258
222,-0.29492188
223,0.20117188
224,0.06640625
225,-0.030883789
226,-0.23339844
227,0.25585938
228,-0.114746094
229,0.23828125
230,-0.11230469
231,0.14550781
232,-0.13378906
233,0.032714844
234,0.025024414
235,0.050048828
236,-0.040283203
237,-0.008117676
238,0.12158203
239,0.07763672
240,-0.032226562
241,-0.35351562
242,-0.040039062
243,0.20898438
244,0.03112793
245,-0.37304688
246,-0.22070312
247,0.30273438
248,0.12109375
249,-0.111328125
250,0.05883789
251,-0.05908203
252,0.099121094
253,-0.020874023
254,0.083496094
255,0.034423828
256,-0.13769531
257,-0.19433594
258,-0.13671875
259,0.2265625
260,0.006439209
261,0.3984375
262,0.26367188
263,-0.27148438
264,0.055908203
265,0.22851562
266,-0.076660156
267,-0.092285156
268,0.021972656
269,-0.04296875
270,-0.13574219
271,-0.032958984
272,-0.005706787
273,0.33789062
274,0.103027344
275,0.053222656
276,-0.12402344
277,-0.024902344
278,-0.118652344
279,0.27148438
280,-0.046875
281,0.22558594
282,-0.0008621216
283,0.05444336
284,0.12597656
285,-0.10058594
286,-0.040283203
287,0.19824219
288,0.13183594
289,0.13476562
290,-0.014709473
291,0.01586914
292,-0.17285156
293,-0.08886719
294,-0.006439209
295,-0.16796875
296,-0.29101562
297,0.03173828
298,-0.02709961
299,0.19726562
