,法国
0,0.0071411133
1,-0.060302734
2,0.05883789
3,-0.01586914
4,0.03466797
5,0.025634766
6,0.0703125
7,-0.036621094
8,-0.0119018555
9,0.091308594
10,-0.016113281
11,0.072753906
12,-0.13964844
13,0.034423828
14,-0.09375
15,-0.05078125
16,0.06201172
17,0.095214844
18,-0.13574219
19,-0.005645752
20,0.02331543
21,0.002532959
22,0.12695312
23,0.007659912
24,-0.06347656
25,-0.15625
26,0.07861328
27,-0.0062561035
28,-0.059570312
29,-0.0390625
30,-0.056884766
31,-0.12402344
32,0.030639648
33,-0.059814453
34,-0.03466797
35,-0.10205078
36,-0.015991211
37,0.06640625
38,-0.067871094
39,0.041015625
40,-0.026611328
41,-0.110839844
42,-0.0038909912
43,0.029907227
44,-0.0025024414
45,-0.13769531
46,-0.12890625
47,-0.064941406
48,0.017456055
49,0.049560547
50,-0.16894531
51,0.140625
52,0.08984375
53,0.0126953125
54,-0.15820312
55,0.15332031
56,-0.17675781
57,-0.05834961
58,0.057373047
59,-0.03930664
60,-0.10253906
61,0.20019531
62,0.024169922
63,0.053955078
64,0.006011963
65,0.025634766
66,0.06738281
67,-0.037597656
68,0.16113281
69,0.24609375
70,0.0011520386
71,0.020385742
72,-0.028564453
73,0.03930664
74,-0.084472656
75,-0.08300781
76,-0.07128906
77,-0.15625
78,0.037353516
79,0.021606445
80,0.075683594
81,0.024780273
82,-0.0048217773
83,-0.009033203
84,0.09472656
85,0.04248047
86,0.013549805
87,-0.011169434
88,0.08203125
89,-0.029174805
90,-0.14941406
91,-0.09472656
92,-0.013549805
93,0.1875
94,0.017822266
95,-0.10107422
96,0.05834961
97,-0.025268555
98,-0.0068359375
99,-0.078125
100,0.09326172
101,0.037109375
102,-0.04345703
103,-0.064941406
104,0.01977539
105,0.14648438
106,0.009887695
107,0.11816406
108,0.03881836
109,0.096191406
110,-0.0703125
111,-0.095703125
112,0.12158203
113,-0.022094727
114,-0.07470703
115,0.005004883
116,-0.10449219
117,-0.024291992
118,0.079589844
119,-0.050048828
120,0.084472656
121,0.12695312
122,-0.16308594
123,-0.004119873
124,0.11621094
125,0.049804688
126,-0.1640625
127,0.08691406
128,0.057373047
129,0.052490234
130,-0.0002822876
131,0.20996094
132,0.08544922
133,0.020874023
134,-0.13085938
135,0.15917969
136,-0.020507812
137,-0.07324219
138,0.051513672
139,0.044433594
140,0.080078125
141,0.16894531
142,0.027954102
143,0.033203125
144,-0.011474609
145,0.04321289
146,0.009521484
147,0.16601562
148,-0.015563965
149,-0.09277344
150,0.13085938
151,-0.10644531
152,0.04321289
153,0.025024414
154,0.09033203
155,-0.11230469
156,-0.07861328
157,0.043701172
158,0.060546875
159,-0.07714844
160,0.024169922
161,0.10644531
162,0.12402344
163,-0.006378174
164,-0.011474609
165,0.013793945
166,0.092285156
167,0.03540039
168,-0.119140625
169,0.05859375
170,0.008850098
171,0.046875
172,-0.0005264282
173,-0.0017929077
174,-0.036376953
175,-0.029418945
176,0.092285156
177,0.045166016
178,-0.013305664
179,-0.21289062
180,-0.104003906
181,0.12011719
182,0.014953613
183,-0.122558594
184,-0.01550293
185,0.011108398
186,0.125
187,-0.115234375
188,-0.017700195
189,0.033935547
190,-0.08251953
191,0.046142578
192,-0.10253906
193,-9.441376e-05
194,0.033935547
195,0.025268555
196,-0.0107421875
197,-0.014465332
198,0.016601562
199,-0.095214844
200,-0.00592041
201,-0.032226562
202,-0.008117676
203,0.020629883
204,0.004272461
205,-0.095703125
206,0.079589844
207,0.041015625
208,-0.099609375
209,-0.12402344
210,-0.103515625
211,-0.12011719
212,0.019042969
213,0.08691406
214,0.0064697266
215,0.031982422
216,-0.13964844
217,-0.02758789
218,0.087402344
219,-0.040771484
220,-0.029663086
221,0.095214844
222,-0.11669922
223,0.111328125
224,0.05419922
225,-0.034423828
226,-0.004852295
227,-0.028198242
228,-0.044921875
229,-0.0073547363
230,0.020629883
231,0.07128906
232,-0.09716797
233,0.05029297
234,0.0115356445
235,-0.026123047
236,-0.057861328
237,0.010803223
238,0.02319336
239,-0.013916016
240,-0.010498047
241,-0.080566406
242,0.029052734
243,0.107421875
244,0.0115356445
245,-0.06982422
246,-0.09082031
247,0.10107422
248,-0.06689453
249,-0.06298828
250,0.07080078
251,0.025756836
252,0.015014648
253,0.034179688
254,0.020507812
255,0.032714844
256,-0.033203125
257,-0.09863281
258,0.010681152
259,0.044433594
260,0.09667969
261,0.17382812
262,0.12011719
263,-0.072753906
264,-0.045898438
265,0.08935547
266,-0.048095703
267,-0.1171875
268,0.024536133
269,0.010559082
270,-0.09423828
271,0.004058838
272,-0.13378906
273,0.03466797
274,0.123046875
275,0.07421875
276,-0.11328125
277,0.035888672
278,-0.10205078
279,0.031982422
280,-0.051513672
281,0.11669922
282,-0.07080078
283,-0.03491211
284,0.04711914
285,0.036376953
286,0.0859375
287,0.122558594
288,0.07421875
289,0.12988281
290,-0.012634277
291,-0.028930664
292,-0.08300781
293,0.046142578
294,-0.049560547
295,0.001373291
296,-0.09033203
297,-0.016601562
298,0.07470703
299,0.11767578
