,美国
0,0.07324219
1,-0.19238281
2,0.12109375
3,-0.10888672
4,0.03955078
5,0.14648438
6,0.107910156
7,0.15039062
8,0.030395508
9,0.234375
10,-0.140625
11,0.12109375
12,-0.24316406
13,0.24707031
14,-0.14648438
15,0.038085938
16,0.032470703
17,0.109375
18,-0.31640625
19,0.09277344
20,-0.087890625
21,-0.059326172
22,0.44921875
23,-0.025512695
24,-0.12695312
25,-0.37304688
26,0.22949219
27,-0.0069885254
28,-0.3046875
29,0.13671875
30,-0.0015335083
31,-0.083984375
32,0.012878418
33,-0.22558594
34,-0.09326172
35,-0.13183594
36,0.0546875
37,0.075683594
38,0.08251953
39,0.1640625
40,-0.1796875
41,-0.26953125
42,0.05053711
43,0.025512695
44,0.06689453
45,-0.33984375
46,-0.31640625
47,-0.122558594
48,0.015319824
49,0.048828125
50,-0.40234375
51,0.36523438
52,0.10449219
53,0.03173828
54,-0.10449219
55,0.51171875
56,-0.19238281
57,-0.3125
58,0.20117188
59,-0.026000977
60,-0.36914062
61,0.40625
62,-0.08496094
63,0.060302734
64,0.08496094
65,0.022094727
66,0.16992188
67,-0.028564453
68,0.3203125
69,0.2734375
70,0.052978516
71,-0.032470703
72,-0.09814453
73,0.016235352
74,-0.35351562
75,-0.2421875
76,-0.046875
77,-0.20019531
78,-0.048339844
79,0.11816406
80,0.0859375
81,0.0859375
82,-0.020996094
83,-0.0078125
84,0.06298828
85,0.06201172
86,0.07910156
87,-0.04638672
88,0.026733398
89,0.067871094
90,-0.34570312
91,-0.08544922
92,0.011779785
93,0.28125
94,0.26171875
95,-0.056640625
96,0.10253906
97,0.049560547
98,-0.001373291
99,-0.05053711
100,0.11230469
101,0.1875
102,0.08691406
103,-0.03149414
104,-0.051513672
105,0.3515625
106,0.0703125
107,0.30664062
108,0.063964844
109,0.23046875
110,-0.06640625
111,-0.15625
112,0.24902344
113,-0.056152344
114,-0.10058594
115,0.076171875
116,-0.087402344
117,-0.04711914
118,0.33398438
119,-0.16308594
120,0.11376953
121,0.16113281
122,-0.34765625
123,0.1328125
124,0.32226562
125,0.087890625
126,-0.18164062
127,0.32617188
128,0.1640625
129,-0.05078125
130,-0.11669922
131,0.27539062
132,0.29882812
133,0.14648438
134,-0.32226562
135,0.2578125
136,-0.104003906
137,-0.12060547
138,0.084472656
139,0.13769531
140,-0.013183594
141,0.16601562
142,0.04736328
143,0.056396484
144,-0.12060547
145,0.008117676
146,0.03515625
147,0.18164062
148,0.03515625
149,-0.23925781
150,0.2578125
151,-0.21386719
152,0.039794922
153,0.0053100586
154,0.15039062
155,-0.15332031
156,-0.21679688
157,0.12597656
158,0.043945312
159,-0.15332031
160,-0.0033111572
161,0.18164062
162,0.15820312
163,-0.10888672
164,0.103515625
165,0.13671875
166,0.32421875
167,0.10546875
168,-0.1953125
169,0.23535156
170,-0.0072021484
171,0.31640625
172,-0.08154297
173,0.048583984
174,-0.0041503906
175,-0.0859375
176,0.07763672
177,0.088378906
178,-0.048828125
179,-0.37304688
180,-0.25195312
181,0.15136719
182,0.13769531
183,-0.1015625
184,0.045898438
185,0.04711914
186,0.17285156
187,-0.29101562
188,0.020996094
189,0.07421875
190,-0.091308594
191,0.028442383
192,-0.19726562
193,-0.0234375
194,0.21875
195,0.15722656
196,-0.11279297
197,-0.09423828
198,0.13769531
199,-0.2578125
200,-0.017089844
201,0.03491211
202,0.203125
203,-0.013244629
204,-0.10498047
205,-0.18847656
206,0.20117188
207,-0.045166016
208,-0.24804688
209,-0.14355469
210,-0.16210938
211,-0.16992188
212,-0.04736328
213,0.20214844
214,0.15234375
215,0.07470703
216,-0.16308594
217,-0.011474609
218,0.25390625
219,-0.0052490234
220,-0.115234375
221,0.03564453
222,-0.12890625
223,0.17480469
224,0.10058594
225,-0.20019531
226,-0.064453125
227,-0.092285156
228,-0.041992188
229,0.0047912598
230,0.091308594
231,0.20117188
232,-0.071777344
233,-0.022094727
234,0.11328125
235,-0.0703125
236,-0.13964844
237,0.0040893555
238,0.0036773682
239,-0.026611328
240,-0.24707031
241,-0.06689453
242,0.014404297
243,0.13964844
244,0.038330078
245,-0.099121094
246,-0.21484375
247,0.32421875
248,-0.16113281
249,-0.22558594
250,0.013977051
251,0.040527344
252,0.021972656
253,-0.083984375
254,0.10546875
255,-0.021118164
256,-0.010803223
257,-0.067871094
258,-0.0115356445
259,-0.02722168
260,0.1640625
261,0.171875
262,0.27929688
263,-0.14257812
264,-0.004547119
265,0.22949219
266,-0.072265625
267,-0.076171875
268,0.14355469
269,0.0061035156
270,-0.25390625
271,0.05834961
272,-0.13476562
273,0.06933594
274,0.09472656
275,0.06591797
276,-0.28515625
277,0.091796875
278,-0.057617188
279,0.10644531
280,-0.24511719
281,0.265625
282,-0.18261719
283,0.04248047
284,0.05126953
285,0.011352539
286,0.08496094
287,0.20898438
288,0.14550781
289,0.08935547
290,0.110839844
291,0.115234375
292,-0.115234375
293,0.18261719
294,0.029174805
295,-0.080078125
296,-0.25
297,-0.059326172
298,0.13867188
299,0.2734375
