,world
1800,0.00037870669621042907
1801,0.0004234615480527282
1802,0.00035323569318279624
1803,0.00033821319811977446
1804,0.00039770716102793813
1805,0.0003542218473739922
1806,0.0003712010511662811
1807,0.00034180216607637703
1808,0.00042386300629004836
1809,0.00035487732384353876
1810,0.00039060096605680883
1811,0.00038633550866506994
1812,0.00031716300873085856
1813,0.000309028837364167
1814,0.0003347183228470385
1815,0.0003880782751366496
1816,0.0003503824700601399
1817,0.00036604388151317835
1818,0.00036149914376437664
1819,0.00032839461346156895
1820,0.0003819342528004199
1821,0.000350984773831442
1822,0.0003751387994270772
1823,0.0003966383810620755
1824,0.0003860115248244256
1825,0.0003703891998156905
1826,0.00035561606637202203
1827,0.00035468814894557
1828,0.0003719449741765857
1829,0.000354008749127388
1830,0.0004338427388574928
1831,0.0003762106935027987
1832,0.00026553444331511855
1833,0.0003791343478951603
1834,0.00033429806353524327
1835,0.00037088021053932607
1836,0.0003555486910045147
1837,0.0003514668787829578
1838,0.00034096583840437233
1839,0.00036662176717072725
1840,0.00035588632454164326
1841,0.0003511920222081244
1842,0.0003596178430598229
1843,0.0003502621839288622
1844,0.000382890400942415
1845,0.00034637312637642026
1846,0.0003539805475156754
1847,0.0003578568866942078
1848,0.00037052060361020267
1849,0.00035744113847613335
1850,0.00038619808037765324
1851,0.000351060094544664
1852,0.0003570944245439023
1853,0.00034125952515751123
1854,0.0003607683756854385
1855,0.000346166460076347
1856,0.00034068681998178363
1857,0.0003207384725101292
1858,0.0003135456354357302
1859,0.0003286351275164634
1860,0.0003191319992765784
1861,0.00031209783628582954
1862,0.00031678201048634946
1863,0.00031317604589276016
1864,0.0002994822571054101
1865,0.0002960729179903865
1866,0.00029973313212394714
1867,0.00029134086798876524
1868,0.00028978040791116655
1869,0.0003062343457713723
1870,0.0003000660799443722
1871,0.00030238242470659316
1872,0.0002836413332261145
1873,0.00028334709350019693
1874,0.00027570431120693684
1875,0.0002749392297118902
1876,0.0002673417329788208
1877,0.00026132308994419873
1878,0.0002607964270282537
1879,0.00025852685212157667
1880,0.0002623500186018646
1881,0.0002731237909756601
1882,0.0002623024338390678
1883,0.0002718880132306367
1884,0.00026072142645716667
1885,0.0002517845423426479
1886,0.00024666267563588917
1887,0.00024418867542408407
1888,0.0002503558644093573
1889,0.00025231170002371073
1890,0.00026063554105348885
1891,0.00025681869010441005
1892,0.0002702568017411977
1893,0.0002683020429685712
1894,0.0002589451032690704
1895,0.0002456259389873594
1896,0.0002565550385043025
1897,0.00025346942129544914
1898,0.000252641475526616
1899,0.00027703275554813445
1900,0.0002690566470846534
1901,0.0002539500710554421
1902,0.00025244627613574266
1903,0.00024654713342897594
1904,0.00025056421873159707
1905,0.00023476245405618101
1906,0.00022595880727749318
1907,0.00023565947776660323
1908,0.00022790022194385529
1909,0.00023601822613272816
1910,0.00023295226856134832
1911,0.0002174402034142986
1912,0.00022614377667196095
1913,0.00022275513038039207
1914,0.0002252609410788864
1915,0.00022642931435257196
1916,0.00022983478265814483
1917,0.0002537017280701548
