,x
1800,3.214853859390132e-05
1801,4.25758225901518e-05
1802,3.084651325480081e-05
1803,4.227376848575659e-05
1804,3.8533293263753876e-05
1805,3.3743806852726266e-05
1806,2.558719461376313e-05
1807,3.511686736601405e-05
1808,2.9491055101971142e-05
1809,5.106855678604916e-05
1810,3.490312155918218e-05
1811,2.7766031053033657e-05
1812,2.3444961698260158e-05
1813,3.6654717405326664e-05
1814,2.5684963475214317e-05
1815,2.7592526748776436e-05
1816,2.4966895580291748e-05
1817,2.653935553098563e-05
1818,2.877564838854596e-05
1819,2.7010231860913336e-05
1820,4.755392001243308e-05
1821,2.7612726626102813e-05
1822,2.9077444196445867e-05
1823,3.284770355094224e-05
1824,3.075069253100082e-05
1825,3.5067172575509176e-05
1826,3.9596034184796736e-05
1827,3.991384801338427e-05
1828,2.3951846742420457e-05
1829,2.3241416784003377e-05
1830,3.235487747588195e-05
1831,2.193809996242635e-05
1832,2.4371682229684666e-05
1833,2.497141031199135e-05
1834,2.1234325686236843e-05
1835,2.3026457711239345e-05
1836,2.4574810595368035e-05
1837,3.100545654888265e-05
1838,2.207583747804165e-05
1839,2.2959113266551867e-05
1840,2.398314063611906e-05
1841,2.188785765611101e-05
1842,2.5552742954459973e-05
1843,2.9877317501814105e-05
1844,2.728965955611784e-05
1845,2.8385364203131758e-05
1846,2.309659612365067e-05
1847,2.317859252798371e-05
1848,2.0825564206461422e-05
1849,2.3168669940787368e-05
1850,2.284820038767066e-05
1851,2.3504380806116387e-05
1852,2.770955688902177e-05
1853,2.2902378987055272e-05
1854,2.5268762328778394e-05
1855,2.50356624746928e-05
1856,2.3408241759170778e-05
1857,2.3657092242501676e-05
1858,2.1864405425731093e-05
1859,2.6454026738065295e-05
1860,3.086299329879694e-05
1861,2.6834193704416975e-05
1862,2.7533502361620776e-05
1863,2.8430415113689378e-05
1864,2.4948189093265682e-05
1865,2.690763540158514e-05
1866,2.5902145353029482e-05
1867,2.2222444385988638e-05
1868,2.5362511223647743e-05
1869,2.6521387553657405e-05
1870,2.6214751414954662e-05
1871,2.7579224479268305e-05
1872,2.8753960577887483e-05
1873,3.0258537663030438e-05
1874,2.823935756168794e-05
1875,2.9048316719126888e-05
1876,2.7000298359780572e-05
1877,3.718025982379913e-05
1878,3.039828698092606e-05
1879,2.9200884455349296e-05
1880,3.125920193269849e-05
1881,3.0296061595436186e-05
1882,3.230337824788876e-05
1883,3.100148751400411e-05
1884,3.468175054877065e-05
1885,3.0338931537698954e-05
1886,3.0967272323323414e-05
1887,2.8183321774122305e-05
1888,3.441783337621018e-05
1889,3.280322198406793e-05
1890,3.541768455761485e-05
1891,3.5796208976535127e-05
1892,3.5366039810469374e-05
1893,3.697979627759196e-05
1894,3.945042044506408e-05
1895,3.565197403077036e-05
1896,3.57259668817278e-05
1897,3.726572685991414e-05
1898,4.030004856758751e-05
1899,3.43044193868991e-05
1900,4.0050312236417085e-05
1901,4.37979178968817e-05
1902,4.397970042191446e-05
1903,4.186845399090089e-05
1904,4.743104364024475e-05
1905,4.040822750539519e-05
1906,3.991515768575482e-05
1907,4.3380034185247496e-05
1908,4.36265800090041e-05
1909,3.9843987906351686e-05
1910,4.046496542287059e-05
1911,3.9864640712039545e-05
1912,4.1153041820507497e-05
1913,4.250389611115679e-05
1914,4.080970393260941e-05
1915,4.09932472393848e-05
1916,4.115422780159861e-05
1917,4.0370803617406636e-05
1918,4.289081698516384e-05
1919,4.0847353375284e-05
1920,4.5463450078386813e-05
1921,4.673228249885142e-05
1922,4.8905400035437196e-05
1923,4.3724608985939994e-05
1924,4.147302752244286e-05
1925,4.344513945397921e-05
1926,4.507845369516872e-05
1927,4.5540415158029646e-05
1928,4.734642061521299e-05
1929,4.414178692968562e-05
1930,4.517906563705765e-05
1931,4.785745113622397e-05
1932,4.80699964100495e-05
1933,5.452219920698553e-05
1934,5.60924963792786e-05
1935,5.245906868367456e-05
1936,5.032333137933165e-05
1937,8.331854041898623e-05
1938,7.786854257574305e-05
1939,8.734510629437864e-05
1940,9.349340689368546e-05
1941,9.198709449265152e-05
1942,7.393408304778859e-05
1943,5.588958811131306e-05
1944,5.816962948301807e-05
1945,5.430920282378793e-05
1946,6.243964890018106e-05
1947,6.393022340489551e-05
1948,6.319440581137314e-05
1949,6.765131547581404e-05
1950,7.890253618825227e-05
1951,7.32146218069829e-05
1952,7.68541285651736e-05
1953,8.065361180342734e-05
1954,8.085367880994454e-05
1955,8.295181032735854e-05
1956,8.731927664484829e-05
1957,9.033045353135094e-05
1958,9.561294427840039e-05
1959,9.800870611798018e-05
