,year
1800,0.00043537639430724084
1801,0.00046591178397648036
1802,0.00046912356629036367
1803,0.0004197494126856327
1804,0.0004248348413966596
1805,0.0004534871259238571
1806,0.00044399703620001674
1807,0.0004167661245446652
1808,0.0003958225133828819
1809,0.0004245692689437419
1810,0.00044382119085639715
1811,0.00042700671474449337
1812,0.0005278257303871214
1813,0.0004846166120842099
1814,0.0004885836387984455
1815,0.0004874334263149649
1816,0.0004994153277948499
1817,0.0004724265600088984
1818,0.00046330090845003724
1819,0.0005112614599056542
1820,0.00043365260353311896
1821,0.0004524524265434593
1822,0.0004313831159379333
1823,0.0004321160668041557
1824,0.00043663245742209256
1825,0.000410830311011523
1826,0.0004252844664733857
1827,0.0004218058311380446
1828,0.000434774236055091
1829,0.00045522284926846623
1830,0.00044006103416904807
1831,0.0004431448469404131
1832,0.0004613712371792644
1833,0.00043224470573477447
1834,0.0004604646237567067
1835,0.0004985181731171906
1836,0.000443329248810187
1837,0.0004463257791940123
1838,0.00044335713027976453
1839,0.0004321500309742987
1840,0.0004677487595472485
1841,0.0004528783611021936
1842,0.00044963014079257846
1843,0.0004361200553830713
1844,0.0004315132391639054
1845,0.0004487324913498014
1846,0.00045519485138356686
1847,0.00046001432929188013
1848,0.00046273323823697865
1849,0.000481460738228634
1850,0.0004574259801302105
1851,0.0004781890893355012
1852,0.00045875320211052895
1853,0.0004714395327027887
1854,0.0004673304210882634
1855,0.0004850521800108254
1856,0.00048541638534516096
1857,0.0004971199086867273
1858,0.0005108574405312538
1859,0.000530731282196939
1860,0.0004999381490051746
1861,0.0005450415192171931
1862,0.0005131038487888873
1863,0.0005087932804599404
1864,0.0004928242997266352
1865,0.0005292869755066931
1866,0.00048826911370269954
1867,0.0005348570994101465
1868,0.0005331675056368113
1869,0.00056062126532197
1870,0.0005576914409175515
1871,0.0005597301642410457
1872,0.0005598408752121031
1873,0.0005766716785728931
1874,0.0005927211605012417
1875,0.0005987436743453145
1876,0.0006133267306722701
1877,0.0006187365506775677
1878,0.0006332707707770169
1879,0.0006150174303911626
1880,0.0006228468264453113
1881,0.000631304457783699
1882,0.0006210432620719075
1883,0.0006088398513384163
1884,0.0006378830294124782
1885,0.000634085270576179
1886,0.000642217171844095
1887,0.0006372086936607957
1888,0.0006376699893735349
1889,0.0006578500615432858
1890,0.0006400974234566092
1891,0.0006555402651429176
1892,0.0006461802986450493
1893,0.0006429905188269913
1894,0.0006571300909854472
1895,0.0006634893361479044
1896,0.0006627858383581042
1897,0.000678758486174047
1898,0.000680969504173845
1899,0.0006593670113943517
1900,0.0006914596306160092
1901,0.000709778512828052
1902,0.0007232594070956111
1903,0.0007147689466364682
1904,0.0007246058085002005
1905,0.0007160474197007716
1906,0.0007267008768394589
1907,0.0007507046684622765
1908,0.0007547016139142215
1909,0.0007746265619061887
1910,0.0007561142556369305
1911,0.0007690436323173344
1912,0.0007749832002446055
1913,0.0007937009213492274
1914,0.0007988420547917485
1915,0.0008132127113640308
1916,0.0008307246025651693
1917,0.0008000495727173984
1918,0.0008009676239453256
1919,0.0007913705194368958
1920,0.0008009888115338981
1921,0.0008320911438204348
1922,0.0008110240451060236
1923,0.0008287650416605175
1924,0.0008636912680231035
1925,0.0008517226669937372
1926,0.0008596391999162734
1927,0.0008619225700385869
1928,0.0008488596067763865
1929,0.0008474712958559394
1930,0.0008651522803120315
1931,0.000846776703838259
1932,0.000853324425406754
1933,0.0008315142476931214
1934,0.0008311276324093342
1935,0.0008123835432343185
1936,0.0008319977205246687
1937,0.0008245640783570707
1938,0.0008134423405863345
1939,0.0008186748018488288
1940,0.0007922014337964356
1941,0.0008052839548327029
1942,0.0007856264128349721
1943,0.0007779398583807051
1944,0.0007672362844459713
1945,0.0007755829719826579
1946,0.000744122255127877
1947,0.0007716911495663226
1948,0.0007874062284827232
1949,0.0007701420108787715
1950,0.0007645679288543761
1951,0.0007811633986420929
1952,0.000771217979490757
1953,0.00078721740283072
1954,0.0007880695629864931
1955,0.0008061517728492618
1956,0.0007890036213211715
1957,0.0007823125924915075
1958,0.0007764996844343841
1959,0.0007761140004731715
1960,0.0007433167775161564
1961,0.0007325572078116238
1962,0.0006956041324883699
1963,0.0006998069584369659
1964,0.0007049250998534262
1965,0.0007153481710702181
1966,0.0007127659628167748
1967,0.0007049969281069934
1968,0.0006824071751907468
1969,0.0006943005719222128
1970,0.0006795373628847301
1971,0.0006965202046558261
1972,0.0006787114543840289
1973,0.0006953172851353884
1974,0.0006960325408726931
1975,0.0007113762549124658
1976,0.0006962079787626863
1977,0.0006860069115646183
1978,0.0006771243060939014
1979,0.0006683654501102865
1980,0.0006620115018449724
1981,0.0006468981737270951
1982,0.0006386414752341807
1983,0.0006518152076750994
1984,0.000615046767052263
1985,0.0005933348438702524
1986,0.0005996926338411868
1987,0.0005884221172891557
1988,0.0006040682783350348
1989,0.0005765541573055089
1990,0.0005787124391645193
1991,0.0005708682583644986
1992,0.0005682235932908952
1993,0.0005673915147781372
1994,0.0005641200114041567
1995,0.0005669415695592761
1996,0.0005391507293097675
1997,0.0005507004680112004
1998,0.0005250722169876099
1999,0.0005248626112006605
2000,0.0005027106963098049
2001,0.0004993350012227893
2002,0.00048007990699261427
2003,0.0004649678012356162
2004,0.0004591268370859325
2005,0.0004583652480505407
2006,0.00044240441638976336
2007,0.0004360391176305711
2008,0.00042036912054754794
2009,0.0003885416081175208
2010,0.00036940662539564073
2011,0.00034512983984313905
2012,0.00031207792926579714
2013,0.0003029376093763858
2014,0.00030998236616142094
2015,0.0003051577368751168
2016,0.0002964003069791943
2017,0.00027452752692624927
2018,0.0002582223678473383
2019,0.0002758734335657209
