,years
1800,0.0005020386888645589
1801,0.000479517737403512
1802,0.0004769876250065863
1803,0.00043493855628184974
1804,0.0004870244301855564
1805,0.0004694352101068944
1806,0.0004736702248919755
1807,0.0004762367461808026
1808,0.000466350931674242
1809,0.00046455790288746357
1810,0.0004641725681722164
1811,0.0004898307961411774
1812,0.0005215110722929239
1813,0.0005196572747081518
1814,0.0005457960651256144
1815,0.0005106747848913074
1816,0.000514149374794215
1817,0.0004997513606213033
1818,0.0004956931225024164
1819,0.0005093751824460924
1820,0.0004985443083569407
1821,0.000484535499708727
1822,0.00048798302304930985
1823,0.0004941930528730154
1824,0.0004936587647534907
1825,0.0004918408812955022
1826,0.0005188219947740436
1827,0.0005035046488046646
1828,0.0005276168812997639
1829,0.0005480308900587261
1830,0.0005348023260012269
1831,0.0005151854711584747
1832,0.0005208074580878019
1833,0.0005459299427457154
1834,0.0005467707524076104
1835,0.000560177315492183
1836,0.0005413172766566277
1837,0.0005344314849935472
1838,0.0005492321215569973
1839,0.0005431840545497835
1840,0.0005392780294641852
1841,0.0005503588472492993
1842,0.0005462038097903132
1843,0.0005390673759393394
1844,0.0005564046441577375
1845,0.0005602918681688607
1846,0.0005591834778897464
1847,0.0005602962919510901
1848,0.0005629087681882083
1849,0.0005647799116559327
1850,0.0005674810381606221
1851,0.0005890649626962841
1852,0.0005722438218072057
1853,0.0005807550624012947
1854,0.000573616533074528
1855,0.0005764926900155842
1856,0.0005806059925816953
1857,0.0006044803885743022
1858,0.0005888656014576554
1859,0.0006143908831290901
1860,0.0006065667257644236
1861,0.0006126126972958446
1862,0.0005936870002187788
1863,0.0006205919198691845
1864,0.0005966363823972642
1865,0.0006058814469724894
1866,0.0005880287499167025
1867,0.0006172673311084509
1868,0.000622275925707072
1869,0.0006396367098204792
1870,0.0006292490288615227
1871,0.0006164858932606876
1872,0.0006246506818570197
1873,0.0006351443007588387
1874,0.0006391337374225259
1875,0.0006450086366385221
1876,0.0006722727557644248
1877,0.0006732302135787904
1878,0.00069347710814327
1879,0.0007008482934907079
1880,0.0006852528895251453
1881,0.0007193412748165429
1882,0.0007007874664850533
1883,0.0006938556907698512
1884,0.0007112982566468418
1885,0.0006901078158989549
1886,0.0007242131396196783
1887,0.0007141696405597031
1888,0.0007246200693771243
1889,0.0007338118157349527
