,United States,Canada,Mexico,Brazil,Argentina,Peru,Colombia,China,Japan,South Korea,Vietnam,Thailand,Malaysia,Indonesia,Singapore,Philippines,India,Pakistan,Kazakhstan,Afghanistan,Egypt,Iran,Türkiye,Iraq,Saudi Arabia,United Kingdom,France,Germany,Russia,Serbia,Sweden,Norway,Italy,Spain,Greece,Morocco,Algeria,South Africa,Nigeria,Ethiopia,Tanzania,Kenya,Australia,New Zealand
United States,1.0000004,0.77904534,0.6424944,0.5355437,0.49614915,0.5187311,0.5848417,0.75315547,0.67775416,0.57699543,0.59007674,0.5480812,0.5894077,0.560148,0.616201,0.63564384,0.7046191,0.7015997,0.5632071,0.6757032,0.5564946,0.6858755,0.6889275,0.701703,0.5659636,0.76380914,0.6420251,0.71147513,0.75145805,0.5495361,0.6417979,0.61774576,0.57555693,0.54573286,0.5020269,0.4731167,0.53660184,0.6300201,0.5168096,0.5147906,0.5233551,0.5045635,0.7063786,0.61970484
Canada,0.77904534,1.0000001,0.66955155,0.56103814,0.49293265,0.6218779,0.61358756,0.6197008,0.5900795,0.54160434,0.57951045,0.6361563,0.7097212,0.64405143,0.699345,0.64223784,0.5812198,0.5656281,0.6233901,0.525323,0.5195763,0.53930306,0.5909436,0.5377901,0.5140199,0.7492317,0.65564644,0.69442356,0.64046675,0.5773873,0.69784456,0.73490524,0.60441166,0.60465235,0.5475535,0.5048558,0.51647097,0.70680356,0.54722667,0.57646894,0.6089921,0.62521803,0.835164,0.8491336
Mexico,0.6424944,0.66955155,0.9999999,0.7403231,0.6917792,0.7987027,0.75254434,0.5393633,0.5968773,0.61882037,0.6619822,0.6469274,0.61278003,0.6378926,0.5205665,0.68850815,0.5869719,0.5731932,0.6122334,0.5753694,0.6897514,0.6578978,0.65063006,0.59286296,0.6163552,0.5869033,0.6941367,0.69576955,0.6232352,0.6878807,0.7167484,0.66585433,0.6994379,0.7171785,0.60437554,0.7015966,0.61057204,0.759725,0.69569236,0.6184597,0.59969693,0.6210912,0.711494,0.6239202
Brazil,0.5355437,0.56103814,0.7403231,1.0000002,0.825639,0.7405602,0.8148238,0.52224076,0.5486934,0.591225,0.61851794,0.60862553,0.5689334,0.6161746,0.48071182,0.6292886,0.58098215,0.53378767,0.57328683,0.4763458,0.66221356,0.6107874,0.67088664,0.52378696,0.6284293,0.56126976,0.68357664,0.68077445,0.59948826,0.7142205,0.6365105,0.6002462,0.66182846,0.78405106,0.543986,0.68816274,0.6235471,0.72359467,0.72432345,0.5433899,0.56388664,0.571149,0.6722478,0.5469453
Argentina,0.49614915,0.49293265,0.6917792,0.825639,0.99999976,0.75354606,0.78134245,0.4765995,0.4931102,0.5619546,0.52050066,0.5059683,0.50447536,0.5654687,0.39365664,0.59863484,0.51329863,0.54177594,0.56959105,0.50642395,0.68125874,0.66083163,0.6082061,0.5805112,0.67667556,0.51194185,0.6673123,0.6326774,0.61263824,0.7291243,0.642537,0.60763717,0.68456936,0.7690859,0.59615487,0.70693296,0.66897845,0.7366503,0.76582915,0.5374357,0.53965676,0.5451437,0.6675173,0.54160804
Peru,0.5187311,0.6218779,0.7987027,0.7405602,0.75354606,1.0000002,0.80342954,0.46716225,0.54504114,0.5436126,0.5758943,0.600212,0.5972776,0.6580187,0.46146476,0.66091204,0.54258317,0.50531214,0.61395305,0.52349615,0.7093665,0.62042016,0.56787294,0.5182514,0.6703749,0.5804309,0.6789527,0.60964346,0.56406283,0.6939055,0.67991924,0.67755264,0.6526376,0.7094082,0.59579337,0.7468568,0.66567796,0.7742892,0.77208304,0.64154416,0.6768511,0.6776329,0.739176,0.67139924
Colombia,0.5848417,0.61358756,0.75254434,0.8148238,0.78134245,0.80342954,0.99999994,0.5204499,0.6132281,0.6026181,0.5870887,0.622314,0.6085511,0.62241364,0.51136935,0.68827206,0.55945784,0.5584002,0.5805589,0.5524214,0.6752375,0.66854846,0.6286479,0.58515096,0.68037075,0.5846308,0.66773766,0.65973073,0.6102174,0.7549487,0.67646056,0.6469724,0.6530095,0.7613154,0.5653408,0.70746386,0.6791053,0.7415775,0.75702816,0.5754184,0.60967404,0.59493804,0.7307302,0.6026162
China,0.75315547,0.6197008,0.5393633,0.52224076,0.4765995,0.46716225,0.5204499,1.0,0.7391061,0.6551661,0.6975182,0.60570663,0.62688535,0.5873802,0.6284213,0.62240076,0.72313267,0.67724824,0.6131149,0.58375156,0.54654264,0.62443984,0.6114295,0.5864445,0.5249716,0.6312161,0.57791954,0.62743735,0.69447476,0.544204,0.5572858,0.5585032,0.5469777,0.5084138,0.502579,0.46157268,0.5207907,0.5917198,0.4761822,0.55479896,0.5313793,0.506268,0.65306157,0.56958425
Japan,0.67775416,0.5900795,0.5968773,0.5486934,0.4931102,0.54504114,0.6132281,0.7391061,0.99999994,0.7790262,0.6895122,0.6444837,0.61886173,0.6026948,0.6194654,0.6748946,0.5962255,0.5109976,0.5119576,0.50343245,0.5094975,0.6081389,0.58048546,0.54838693,0.53660405,0.6426254,0.6326938,0.715362,0.6029829,0.5712518,0.67850685,0.6570878,0.6120525,0.5335154,0.53584445,0.52413535,0.4880772,0.5571486,0.5020583,0.47698832,0.42515433,0.42578375,0.6861265,0.58420926
South Korea,0.57699543,0.54160434,0.61882037,0.591225,0.5619546,0.5436126,0.6026181,0.6551661,0.7790262,0.9999997,0.66841835,0.63504964,0.61211073,0.5635038,0.57324785,0.6259139,0.51908183,0.51229775,0.5504137,0.46810907,0.56707424,0.6602023,0.6235971,0.563849,0.6315517,0.50354373,0.5458093,0.59825957,0.5865066,0.619583,0.6398022,0.5992389,0.5489973,0.5353766,0.5119126,0.5755832,0.5119716,0.57784486,0.5994143,0.45298424,0.41918018,0.43409115,0.6497914,0.51277333
Vietnam,0.59007674,0.57951045,0.6619822,0.61851794,0.52050066,0.5758943,0.5870887,0.6975182,0.6895122,0.66841835,0.99999994,0.7896938,0.7760703,0.7446986,0.6555117,0.8115525,0.71468544,0.68496794,0.62803185,0.65445566,0.60097146,0.66131175,0.68207824,0.67822653,0.5646315,0.5562516,0.58813643,0.56908405,0.6089122,0.5747564,0.582056,0.58219177,0.56521904,0.5500727,0.49273837,0.5919386,0.6015771,0.664379,0.5816811,0.64530367,0.6218309,0.59332186,0.6753453,0.55256057
Thailand,0.5480812,0.6361563,0.6469274,0.60862553,0.5059683,0.600212,0.622314,0.60570663,0.6444837,0.63504964,0.7896938,0.9999999,0.86242443,0.7532892,0.71721333,0.8005219,0.70348275,0.6292972,0.61399263,0.5517148,0.5961674,0.6058512,0.59775317,0.56136,0.55600417,0.5748635,0.59905136,0.54803926,0.5520485,0.598589,0.5486675,0.61625475,0.5510734,0.61014044,0.5435703,0.6295412,0.5744439,0.700144,0.609388,0.61155814,0.6217828,0.64313763,0.71577305,0.68386513
Malaysia,0.5894077,0.7097212,0.61278003,0.5689334,0.50447536,0.5972776,0.6085511,0.62688535,0.61886173,0.61211073,0.7760703,0.86242443,0.99999994,0.8386223,0.8383718,0.8159259,0.6911331,0.6480687,0.630758,0.5738859,0.5961671,0.6141714,0.6030818,0.5835711,0.568448,0.6192216,0.5912189,0.55891305,0.5518732,0.5643422,0.58250344,0.63965845,0.58308005,0.5906636,0.52143514,0.62867385,0.6127186,0.7326151,0.61536556,0.6601618,0.67228097,0.68950194,0.75463605,0.72202104
Indonesia,0.560148,0.64405143,0.6378926,0.6161746,0.5654687,0.6580187,0.62241364,0.5873802,0.6026948,0.5635038,0.7446986,0.7532892,0.8386223,0.9999997,0.7029675,0.8327111,0.7091637,0.6457073,0.6305691,0.5779098,0.5982178,0.6137123,0.59559625,0.5793998,0.55709195,0.5497538,0.5657903,0.5287826,0.5809316,0.55335927,0.5902011,0.64774114,0.5464792,0.5564317,0.5194856,0.6240068,0.6245301,0.7199918,0.6351921,0.7042176,0.70763654,0.7149367,0.7166404,0.6484857
Singapore,0.616201,0.699345,0.5205665,0.48071182,0.39365664,0.46146476,0.51136935,0.6284213,0.6194654,0.57324785,0.6555117,0.71721333,0.8383718,0.7029675,0.9999997,0.7098126,0.6279665,0.5419291,0.52948105,0.48353764,0.4859379,0.52281284,0.50326526,0.4986245,0.5120669,0.6216685,0.55018103,0.5701989,0.48052588,0.48416984,0.5486793,0.567973,0.5251652,0.5407852,0.48391417,0.50570357,0.48687318,0.62238127,0.48332244,0.52401286,0.5498831,0.5311372,0.70171124,0.67447156
Philippines,0.63564384,0.64223784,0.68850815,0.6292886,0.59863484,0.66091204,0.68827206,0.62240076,0.6748946,0.6259139,0.8115525,0.8005219,0.8159259,0.8327111,0.7098126,0.9999998,0.68159264,0.6526276,0.61046726,0.61819166,0.6212523,0.6761132,0.62673575,0.62129974,0.5865956,0.6154899,0.6249376,0.57116556,0.60718226,0.60241485,0.609167,0.6425257,0.56731164,0.65732354,0.53844124,0.63149214,0.6434862,0.7262572,0.630335,0.65181524,0.6667559,0.66190124,0.7744962,0.6370613
India,0.7046191,0.5812198,0.5869719,0.58098215,0.51329863,0.54258317,0.55945784,0.72313267,0.5962255,0.51908183,0.71468544,0.70348275,0.6911331,0.7091637,0.6279665,0.68159264,1.0000001,0.84660894,0.6329713,0.7327718,0.6705187,0.69374603,0.6929971,0.6840658,0.6266335,0.6641059,0.59293,0.5595178,0.73471206,0.5435721,0.5840106,0.59417266,0.5190138,0.56568575,0.519796,0.5772117,0.63576597,0.6577112,0.5782802,0.67958415,0.6765955,0.64878494,0.63844186,0.5629908
Pakistan,0.7015997,0.5656281,0.5731932,0.53378767,0.54177594,0.50531214,0.5584002,0.67724824,0.5109976,0.51229775,0.68496794,0.6292972,0.6480687,0.6457073,0.5419291,0.6526276,0.84660894,1.0000001,0.6633215,0.83063287,0.6736144,0.7766956,0.766799,0.8072003,0.6417692,0.58905166,0.5471138,0.5373997,0.7850357,0.58389765,0.5326659,0.5360978,0.48067057,0.5174856,0.49035412,0.563721,0.7019654,0.62811506,0.60646015,0.6608467,0.6812363,0.61630136,0.602238,0.5001757
Kazakhstan,0.5632071,0.6233901,0.6122334,0.57328683,0.56959105,0.61395305,0.5805589,0.6131149,0.5119576,0.5504137,0.62803185,0.61399263,0.630758,0.6305691,0.52948105,0.61046726,0.6329713,0.6633215,1.0000002,0.6870779,0.6630958,0.69687384,0.7107517,0.66596174,0.6315534,0.5246451,0.5878534,0.5814518,0.7637972,0.7129793,0.6376787,0.6774451,0.5611482,0.56400603,0.57759595,0.6340006,0.6753602,0.67870796,0.6510054,0.7068677,0.6461203,0.6768558,0.63005906,0.5963944
Afghanistan,0.6757032,0.525323,0.5753694,0.4763458,0.50642395,0.52349615,0.5524214,0.58375156,0.50343245,0.46810907,0.65445566,0.5517148,0.5738859,0.5779098,0.48353764,0.61819166,0.7327718,0.83063287,0.6870779,1.0000005,0.704703,0.76609844,0.7418732,0.86717063,0.6547103,0.5742743,0.54163474,0.52580243,0.73214567,0.55888253,0.53471106,0.5453822,0.49498448,0.47800288,0.5224499,0.598638,0.6939334,0.66039157,0.59303576,0.7023003,0.69387096,0.63540053,0.5580959,0.47211346
Egypt,0.5564946,0.5195763,0.6897514,0.66221356,0.68125874,0.7093665,0.6752375,0.54654264,0.5094975,0.56707424,0.60097146,0.5961674,0.5961671,0.5982178,0.4859379,0.6212523,0.6705187,0.6736144,0.6630958,0.704703,0.9999999,0.82079464,0.75663584,0.7523493,0.83340293,0.5979572,0.6667931,0.6118437,0.7194714,0.7176794,0.6804565,0.6441667,0.6414986,0.67293733,0.7419664,0.80789995,0.7824741,0.73525316,0.7527512,0.7062071,0.6595652,0.656881,0.65584993,0.53613436
Iran,0.6858755,0.53930306,0.6578978,0.6107874,0.66083163,0.62042016,0.66854846,0.62443984,0.6081389,0.6602023,0.66131175,0.6058512,0.6141714,0.6137123,0.52281284,0.6761132,0.69374603,0.7766956,0.69687384,0.76609844,0.82079464,1.0,0.81947494,0.84028417,0.8185692,0.56652826,0.6227355,0.6069666,0.8102302,0.7370984,0.66664517,0.63374084,0.5941489,0.6519735,0.6395342,0.75442535,0.7282675,0.6753928,0.74114984,0.62265354,0.5673738,0.57587564,0.66680616,0.50488853
Türkiye,0.6889275,0.5909436,0.65063006,0.67088664,0.6082061,0.56787294,0.6286479,0.6114295,0.58048546,0.6235971,0.68207824,0.59775317,0.6030818,0.59559625,0.50326526,0.62673575,0.6929971,0.766799,0.7107517,0.7418732,0.75663584,0.81947494,1.0000001,0.79258686,0.68714863,0.6305277,0.67390007,0.6991704,0.81776285,0.73599476,0.6622439,0.68424904,0.6590822,0.635955,0.6594962,0.68766856,0.70211804,0.6528805,0.63469285,0.6221214,0.5914453,0.6067349,0.6430017,0.5369587
Iraq,0.701703,0.5377901,0.59286296,0.52378696,0.5805112,0.5182514,0.58515096,0.5864445,0.54838693,0.563849,0.67822653,0.56136,0.5835711,0.5793998,0.4986245,0.62129974,0.6840658,0.8072003,0.66596174,0.86717063,0.7523493,0.84028417,0.79258686,1.0000001,0.73263454,0.5502767,0.5534764,0.5801421,0.7614163,0.6049856,0.5714042,0.56005496,0.55100924,0.51298773,0.5978613,0.6073716,0.72928065,0.66941833,0.66333145,0.66552055,0.6377187,0.5872203,0.59514713,0.47039017
Saudi Arabia,0.5659636,0.5140199,0.6163552,0.6284293,0.67667556,0.6703749,0.68037075,0.5249716,0.53660405,0.6315517,0.5646315,0.55600417,0.568448,0.55709195,0.5120669,0.5865956,0.6266335,0.6417692,0.6315534,0.6547103,0.83340293,0.8185692,0.68714863,0.73263454,1.0000001,0.5336954,0.5722194,0.5517194,0.70218027,0.6813956,0.65650856,0.6188569,0.5565452,0.610207,0.6014116,0.7683396,0.7207937,0.69135094,0.8036957,0.5967283,0.5717059,0.5703093,0.656223,0.49781233
United Kingdom,0.76380914,0.7492317,0.5869033,0.56126976,0.51194185,0.5804309,0.5846308,0.6312161,0.6426254,0.50354373,0.5562516,0.5748635,0.6192216,0.5497538,0.6216685,0.6154899,0.6641059,0.58905166,0.5246451,0.5742743,0.5979572,0.56652826,0.6305277,0.5502767,0.5336954,0.9999998,0.7966676,0.7750919,0.64259875,0.58565295,0.73189384,0.7069117,0.67549115,0.6909135,0.5835898,0.55127275,0.6105436,0.6530877,0.53581315,0.5771231,0.5755635,0.60519224,0.7426531,0.6888569
France,0.6420251,0.65564644,0.6941367,0.68357664,0.6673123,0.6789527,0.66773766,0.57791954,0.6326938,0.5458093,0.58813643,0.59905136,0.5912189,0.5657903,0.55018103,0.6249376,0.59293,0.5471138,0.5878534,0.54163474,0.6667931,0.6227355,0.67390007,0.5534764,0.5722194,0.7966676,1.0000001,0.822045,0.66685295,0.71157014,0.7631001,0.7076156,0.81065375,0.7925026,0.673619,0.70138246,0.6907884,0.71970886,0.62235427,0.60136104,0.5712585,0.6057693,0.7114182,0.6639145
Germany,0.71147513,0.69442356,0.69576955,0.68077445,0.6326774,0.60964346,0.65973073,0.62743735,0.715362,0.59825957,0.56908405,0.54803926,0.55891305,0.5287826,0.5701989,0.57116556,0.5595178,0.5373997,0.5814518,0.52580243,0.6118437,0.6069666,0.6991704,0.5801421,0.5517194,0.7750919,0.822045,1.0,0.6614386,0.72221094,0.81860805,0.75024486,0.77596384,0.71593606,0.6470351,0.618862,0.6110173,0.674669,0.6032367,0.5756546,0.5203117,0.5325665,0.7155525,0.6267723
Russia,0.75145805,0.64046675,0.6232352,0.59948826,0.61263824,0.56406283,0.6102174,0.69447476,0.6029829,0.5865066,0.6089122,0.5520485,0.5518732,0.5809316,0.48052588,0.60718226,0.73471206,0.7850357,0.7637972,0.73214567,0.7194714,0.8102302,0.81776285,0.7614163,0.70218027,0.64259875,0.66685295,0.6614386,1.0000001,0.68251127,0.6876654,0.70178264,0.60174555,0.60750955,0.58248824,0.6117286,0.6746016,0.6756484,0.6439431,0.6005837,0.569871,0.57681936,0.6553918,0.5316498
Serbia,0.5495361,0.5773873,0.6878807,0.7142205,0.7291243,0.6939055,0.7549487,0.544204,0.5712518,0.619583,0.5747564,0.598589,0.5643422,0.55335927,0.48416984,0.60241485,0.5435721,0.58389765,0.7129793,0.55888253,0.7176794,0.7370984,0.73599476,0.6049856,0.6813956,0.58565295,0.71157014,0.72221094,0.68251127,0.99999994,0.76490456,0.7016415,0.6559207,0.72232586,0.6710431,0.73736894,0.6862863,0.69432044,0.7604501,0.562934,0.5599826,0.58741516,0.69060594,0.5740145
Sweden,0.6417979,0.69784456,0.7167484,0.6365105,0.642537,0.67991924,0.67646056,0.5572858,0.67850685,0.6398022,0.582056,0.5486675,0.58250344,0.5902011,0.5486793,0.609167,0.5840106,0.5326659,0.6376787,0.53471106,0.6804565,0.66664517,0.6622439,0.5714042,0.65650856,0.73189384,0.7631001,0.81860805,0.6876654,0.76490456,1.0,0.85252684,0.7198707,0.69313747,0.6439744,0.7205841,0.63978523,0.70091105,0.6877691,0.56813073,0.5396451,0.5754114,0.7417768,0.638869
Norway,0.61774576,0.73490524,0.66585433,0.6002462,0.60763717,0.67755264,0.6469724,0.5585032,0.6570878,0.5992389,0.58219177,0.61625475,0.63965845,0.64774114,0.567973,0.6425257,0.59417266,0.5360978,0.6774451,0.5453822,0.6441667,0.63374084,0.68424904,0.56005496,0.6188569,0.7069117,0.7076156,0.75024486,0.70178264,0.7016415,0.85252684,1.0,0.6926357,0.67421913,0.6776873,0.6752741,0.6391295,0.7174419,0.6340991,0.60868186,0.6203243,0.6566017,0.7736619,0.7536522
Italy,0.57555693,0.60441166,0.6994379,0.66182846,0.68456936,0.6526376,0.6530095,0.5469777,0.6120525,0.5489973,0.56521904,0.5510734,0.58308005,0.5464792,0.5251652,0.56731164,0.5190138,0.48067057,0.5611482,0.49498448,0.6414986,0.5941489,0.6590822,0.55100924,0.5565452,0.67549115,0.81065375,0.77596384,0.60174555,0.6559207,0.7198707,0.6926357,1.0,0.7560399,0.72638,0.6654828,0.59982216,0.6800804,0.59304446,0.59497666,0.50637454,0.54785883,0.64328235,0.60803497
